hư hại	破坏
Tại chỗ	就地
Cả hai kết thúc	兩端
Ling	槤
Shabu	趮
Trong	喺
Nhúng	嵌入
ôm	偎
Dọn phòng	内务
Người giúp việc	妢
hoàn thành	履行
Tám nghìn	八千
Barna	巴拿
Nhận định	定论
Đem đến cho	帶給
Kiềm chế	歛
ngôi sao	星星
năm mươi	五十
sự thiếu	短缺
Xie	勰
Ướt	潮湿
chuyển khoản	轉會
gián điệp	特务
Zemin	澤民
cắt thịt thành từng miếng	胾
một lát sau	後來
Sẽ làm theo	會隨
thông tin	信息
Sẽ hướng dẫn	會導
hoạt động	動作
Dốc	陡峭
Khóa	鎖
Tại thời điểm này	這時
Mi	宼
Thống đốc	省長
Trong cuộc họp	會內
CITIC	中信
Hoa	绽
Người giám sát	主管
Thuộc về	隸屬於
Zimin	自民
Vắt kiệt	掹
Hoa loa kèn	莉莉
Wo	禾
Đoàn ca múa nhạc	歌舞团
Slovic	斯洛維
Di dời	遷居
Sạc điện	充
mục lục	索引
Wagner	瓦格纳
đầu đạn	彈頭
rộng	闊
sự chỉ trích	批評
Chân giả	蕯
Kẻ hủy diệt	終結者
ớt	辣椒
tin đồn	謠言
Yoshiwa	义和
Giải thưởng hòa bình	和平奖
Quan sát	觀測
Cá tuyết	鳕
Nhóm lớn	大群
Kun	鹍
Miền	畴
đóng	紧密
Tần	骎
xác minh	验证
đâm	茦
Kinh thánh	经文
Trang Chủ	居家
Chia sẻ	共有
Giảm nhẹ	减轻
vĩ độ	緯度
Rồng đen	黑龙
Xây dựng	建設
Bác sĩ	郎中
Xu	僊
Eddie	艾迪
rẻ	贱
Thay mới	續約
Hou	侯
Mong	冀
Anh hùng	功臣
nhanh	迅速
Thời gian chính trị	政時
điều khiển	节制
nhà cung cấp	鬻
Ngớ ngẩn	詼
Deng	嶝
Quyền công dân	民权
Hậu duệ	子孙
sản xuất	產生
Công bố	刊出
cuộc hẹn	任命
món ăn	食
Mot loai	一個種
Mùa hè	大夏
Đại học Quốc gia Đài Loan	國立臺灣大學
gợn sóng	渼
Bay	鯼
erg	尔格
Quyết định	决
Người hâm mộ	粉絲
Neihua	內華
Phun	噃
lô hàng	批次
thứ bảy	第七
Ma	魉
mời gọi	邀请
Jin	晋
Đông cứng	凍結
không ai	都沒
nhẫn	环
đủ	足夠
trạm xe buýt	汽车站
khen ngợi	表揚
Shan	鄯
Phình to	胀
sự nhiễm trùng	感染
Liên quan	牽連
Tiếp tục	续
Trong	物中
Deji	德基
hệ thống	繫
Nươc Nha	本國
Yan	瀊
sức mạnh	勁
Kể từ Tây	自西
zirconium	锆
Zhu	栟
Bohemia	波希米亚
Trung địa	中土大陸
cái khiên	盾
Krakow	克拉科夫
Li	俐
Sau khi bị	后被
Zhu	斴
Cung nam	同年
cấp độ	水準
Khoang xe	車室
răng	齒
bí ẩn	神秘
Dongfeng	東風
Đá	摇滚
Seabream	鯛科
Gốc cây	鲌
Học viện	書院
Nhà ga trung tâm	中心站
Oda Nobunaga	織田信長
Nhà phát triển	开发商
caliph	哈里發
già chuyện	噥
Nu	努
Tăng đoàn	僧伽
Ling	媐
nhịp	跨度
Tinh vi	馔
Súng phòng không	高射炮
cổ áo	領
Máy bay chiến đấu	戰機
Gây bệnh	致病
liền kề	毗
Bị giết trong hành động	阵亡
cao	高昂
Màu lông	毛色
vợ / chồng	配偶
Mười nghìn	萬個
Thiên nhiên	生性
lột vỏ	剝
Einstein	爱因斯坦
Hoàng	璜
Niên đại	年表
Triều đại Tây Tấn	西晋
ma thuật	魔幻
Cứu trợ thiên tai	救灾
Anna	安纳
Tình cờ gặp	踄
Xijing	西京
Gua	卦
Tượng vàng	金像
giám đốc	導演
đất ruộng	农田
Yến tiệc	絭
Tổng chiều dài	总长
Mexi	墨西
Anshi	安市
Lập kế hoạch	企劃
Trường học kinh doanh	商學院
Dần dần	漸發
Bản ghi trực quan	視紀錄
Li	濆
Silicon	矽
Kể từ đó	從此
cái lọ	罍
Công nghệ	技術
Hoa Quốc Phong	华国锋
Bộ phận dịch vụ	務署
Zhang Zuolin	張作霖
tìm	覓
Gạch tráng men	琉璃瓦
Vòng	环路
Người đi bộ	人行
Hayakawa	早川
tuyệt vọng	怅
Giá cả	费用
Kwong	鄺
lãng mạn	浪漫
Một lát sau	稍后
erbium	铒
bên ngoài	外部
An Huy	安徽
Kawas	川氏
Lịch sử	历代
tưa miệng	鶇
Bóng tối	晅
Hờn dỗi	澁
hình minh họa	插图
Yao	尧
Các ngôi sao	的恆星
nghiên cứu	考证
Bộ ba	三合會
Trang bị lại	改装
lũ lụt	洚
Gợi lại	罢免
Sau đó	此後
Âm	鑮
Costa Rica	哥斯达黎加
lớn lên	成长
Hình bát giác	八角形
Đồi mồi	糎
Du kích	游击队
El	埃爾
Đạo đức	士气
Sai lầm	失誤
ngay bây giờ	现在
Hội chợ	博覽會
Điện thoại di động	手機
thành trì	据点
cố gắng	功夫
Vỉa hè	路面
Làm sao	豈
Wow	哇
Sống ở	居住於
Tỷ lệ từ	字率
Gốc	原产
danh tiếng	名望
Zi	梓
Thung lũng	穀
Một loạt các	一连串
Sống cùng nhau	聚居
Nhà thư pháp	书法家
Taisho	大正
Trên đường	路上
Lượng tử hóa	量子化
cà vạt	绑
Ẩn trong	藏於
Cúp châu Á	亞洲盃
dưới không	零下
Veneto	威尼托
Ôn tập	审核
Bộ gen	基因組
Tham gia	加盟
kéo	拉力
Công dân Trung Hoa Dân Quốc	中華民國國民
Từ chối	式微
Ngày mai	明日
Tăng ca	加時
Những trạng thái	各州
Viện khảo thí	考試院
Moore	穆尔
Ngày thứ sáu	初六
Tất	襪
Tiệc	馦
Người Mỹ	美方
theo chiều dọc	竪
xuyên quốc gia	跨國
Hiệu quả	效力
áo choàng ngoài	上衣
Wei	洉
tiếng ồn	喧
Đào tạo	培訓
Gu	顧
chim cun cút	鷷
Nỗi khó khăn	難者
Bữa tiệc	该党
Đất khai hoang	畇
Sự kết hợp	共轭
nhà điêu khắc	雕塑家
Suy đoán	推測
Sắc lệnh	敕令
bãi đậu xe	停车
Khối	阻挡
tất nhiên	当然
Danba	丹巴
Trong thành phố	城中
hiệu ứng	作用
Trục	轅
Chướng khí	沴
Taylor	泰勒
Chúng ta vẫn	們還
Vậy nên	以致
Con rể	忩
Xu	煦
câu đố	狴
Viên kế toán	會計師
Palermo	巴勒莫
Lịch sử trường học	校史
sán	吸虫
khách hàng	客户
Trưởng phái viên	布政使
Oracle	甲骨文
Thực tập sinh	學員
suy nghĩ	認為
Thắng lợi	奪得
gói hàng	包裝
Hồi	穆斯林
Các tuyến đường	條路線
sự sinh sôi nảy nở	增殖
Nghèo	遜
nó	牠
Quận ủy	县委
Gây ung thư	致癌
tình trạng	條件
Zhu	璚
nói chuyện	談論
nhóm	团体
Trẻ	雛
Biệt thự	別墅
không đáy	窔
Bồn nước	水箱
giỏ tre tròn	筥
cháu trai	孫子
nói chuyện	议论
tàn sát	大屠杀
danh từ: Tọa độ	坐標
Bằng thuyền	乘船
Không giúp được	不住
Projective	射影
Quốc giáo	國教
Đảng Whig	辉格党
hung ác	殘酷
Nuremberg	纽伦堡
Theravada	上座部
mắt cá	踝
Dominica	多米尼加
cây ngang	楣
ampe	安培
Tổng thư ký	秘书长
Thang máy giữa	中举
sắc đẹp, vẻ đẹp	美感
Chan	嬋
hộ chiếu	护照
ngăn kéo	褌
Nhạc cụ	乐器
Dẫn điện	導電
Maria	玛利亚
Gần nhất	最接近
quyền lực	幂
Mơn trớn	抚
Quách Tĩnh	郭靖
người ăn xin	乞丐
Shan	鞾
ướt	溼
Mongoose	獴
Hạt	努特
Bùng binh	旋處
Hum	嗀
Tật nguyền	残疾人
từng cái một	逐一
Thay đổi	而異
Bìu	簘
Krone	克羅尼
Giành được	獲得了
Kinh doanh như	商為
Nagamasa	長政
Cắt	伐
Bỏ trốn	逃脫
Kyrgyzstan	吉尔吉斯斯坦
Roy	鲁瓦
Yan	閆
Bình luận viên	论者
Madou	麻豆
Thẩm định, lượng định, đánh giá	考核
De Zong	德宗
Kịch	劇為
Bạn Xi	游錫
Kèn Trumpet	號風
Fabi	法比
Viện trợ chống Mỹ	抗美援
Nhưng không	卻沒
độ ẩm	濕度
Mất đi	佚
Miri	美里
Pao	榀
Ba phần ba	分之三
Đo đạc	测
Tái sinh	重生
cao chót vót	耸
chim	禽
Trường bình thường	师范学校
dẫn theo	掔
Hitt	希特
Tốc độ	佩斯
Patten	彭定
Swaddle	襷
sản xuất	生產
điều cấm kỵ	諱
nắp hình nón	幘
Trang bị	武裝
Lễ	礼
quốc phòng	国防
Đường dây chuyên dụng	专线
Teresa Teng	鄧麗君
phần lớn	大多
Quái vật	怪獸
Hồ bơi	池
một nơi	一處
Không bao giờ	時曾
Itai	伊泰
bier	柩
tập thể dục	行使
Lân lượt tưng ngươi một	相继
Che đậy	掩
Kuomintang	國民黨
triều đại	朝代
Thả khung	落架
tòa thị chính	市政厅
Đôi pho vơi	交道
hiểu biết	認識
Tuyên thệ	宣誓
Manila	馬尼拉
em gái	妹
Đệ tam	三元
Ene	烯
Changhua	彰化
hiệu ứng	効
chìa khóa, thìa	匙
Phát biểu	演講
Đẹp	謩
Châu Á	细亚
Thép cây	鋼筋
tâm lý học	心理學
Qian	芇
Xấu hổ	旈
Xin	鑫
Buồn bã	起事
quá	超過
Hồng	闳
Bắc	诺斯
huy chương	勋章
thành viên	團員
thịt	肉
Dây buộc	洛佩
Con đường thương mại	商业街
Soma	索馬
Máy khoan	鑽
Jia	郏
bốn mùa	四季
jin	斤
Nhựa	樹脂
Quanh co	蜿
Phía sau	身後
đến	至
Vaud	沃州
bình	甕
y tá	护士
Kho bạc	国库
tập trung vào	专著
Sự cứu rỗi	救亡
Họ và tên	全称
Zou	鄒
Bắn	槍決
cha mẹ	父母
vu khống	讪
phim Nhật Bản	日本電影
sự hiểu biết	掌握
Thân cây	干支
Sẽ	者會
Del	德尔
Vô cơ	无机
Ravioli Trung Quốc	餛
sân vận động	体育馆
độ đục	濁
Phúc lợi công cộng	公益
Cô ấy và	她與
Đã kết nối	连通
Đánh giá âm nhạc	樂評
Musha	武者
Phượng Hoàng	凤
Giảm giá	塞尔
Người Duy Ngô Nhĩ	维吾
Mỗi nhóm	每組
Gầm	咆
Nội chiến	國共內戰
Sự bành trướng	扩编
Một phần nhỏ	一小部分
Tất cả đang chờ đợi	統候
liên đoàn	盟
nhưng	郤
Thanh niên được giáo dục	知青
Cung cấp nước	供水
Morbihan	莫尔比昂
Tiếng Mông Cổ	蒙
Cung điện mùa hè cũ	圆明园
Mơn trớn	撫
Zhongqing	忠清
miễn nhiễm	免疫
núi lửa	火山
bằng cách ấy	從而
người dân	公民
Ying	瀅
Quốc gia	個國
Đang chờ đợi	有待
Nhịp	节奏
Pyrenees	比利牛斯
Chu	迺
Thành viên hội đồng	務委員
Meuse	默兹
lừa dối	誆
Lưới	格格
chôn	埋葬
Jinhe	金和
Đầy đủ lực lượng	全力
sự hiểu lầm	誤解
Thừa nhận	考入
Ceylon	錫蘭
Chạy trốn	逃犯
Nơi trú ẩn khỏi gió	避風
sự phản đối	異議
Vịt xanh	鸭绿
Giá là	價為
Kam Tin	錦田
mâu thuẫn	矛盾
Thành phố An Sơn	鞍山市
Sững sờ	愽
Thời lượng	為期
Những người tị nạn	流民
Không chỉ	不但
Nhát	腆
cánh đồng	场
Viết	寫著
phía sau	落后
Định tính	定性
Lington	灵顿
cuộc hẹn	約會
Các vấn đề dân sự	民政
thị trấn	鎮區
Đã cố gắng	未遂
Columbia	哥大
vườn	花园
thuyết phục	说服
Archimedes	阿基米德
phòng thủ	扞
cove	隩
Kế hoạch	普兰
Một đôi	一對
đại sứ quán	大使馆
máy trục	鶴
Tụ họp	聚
đây	此地
Tuần tới	壹週刊
Thời gian	時分
Mùa này	該季
Sáng	煌
Ga Hung Hom	紅磡站
Con gái thứ hai	次女
thử thách	挑戰
Cà vạt	餢
vỏ sò	外殼
Trong mắt	目中
Thành phố Hồ Chí Minh	胡志明市
nhưng	不过
Tàn phá	孮
Tham ăn	馸
Ram	拉姆
Áo mới	新泽西州
Khám phá	探究
thay đổi	换
Vượt qua	過數
trả	付
Cái này	这个
Ying	荥
Yo	呦
Tốc độ	踱
sự tương tác	相互作用
Ngã	落馬
Rolla	罗拉
Allier	阿列省
Guofa	國發
Yi	瑊
khác nhau	不同
Đau khổ	壌
Dài	迢
Rất lớn	甚大
Bộ quốc phòng	国防部
dựa trên	基於
Trên sân khấu	台上
trong khoảng	大約
Bức vẽ	畫作
Niên giám	年鉴
Không phải của nhau	互不
phản chiếu	映
nghề nghiệp	生涯
Tuổi tác	歳
mười lăm năm	十五年
sau đó	然后
xôn xao	汹
phong cách phương Tây	西式
Trung sĩ	中士
Ngoài mọi người	出人
hỗ trợ	援助
Điểm chuẩn	基准
Conscript	征召
Đá quý	寶鑽
vi khuẩn	细菌
Han	與漢
pha trộn	混合
lớp học	教室
bươm bướm	蝶
Chức sắc	政要
Di chuyển	招式
Giao banh	侍奉
xấu hổ	耻
Sở hữu	自居
cảm thấy	觉
Cam kết	犯
Wei	尉
Ở lại	斯泰
Do dự	猶豫
Syrah	西拉
Góa phụ	嫠
Chung	將軍
chiến tranh lạnh	冷戰
Kể từ thời thơ ấu	自幼
Phun	嗙
lụa	帛
Xẻng	锨
Yi	浿
Răng nanh	枋
nghi ngờ	儗
miễn cưỡng	勉強
Định kỳ	期刊
một cách tạm thời	暂时
Kinh nghiệm	體會
Người viết lời	詞人
Lựa chọn	遴
Haas	哈斯
Leo	匍匐
Yên tĩnh	幽
cố vấn	参事
Yi	従
thuế quan	关税
tăng	增
Phá bỏ	脱离
Mở cửa	開門
tàn bạo	殘暴
palladium	鈀
Mỏ đá	鲗
Thêm	加之
động kinh	痫
Người dân thành phố	城人
Xã nhân dân	人民公社
sự chuyên chế	暴政
Polis	波利斯
biển Caribbean	加勒比海
mài ngọc	碾
báo cáo	報告
Tiêu cực	负面
quan tâm	利息
Âm	翨
Canada	加拿大
con trai cả	長子
Yan	鷰
dịch vụ	服務
trắng	皤
Dũng cảm	大胆
Tường thuật	叙事
Âm	覞
Nâng cao	增強
Dương tử	長江
Mảnh khảnh	细长
Ủy quyền	授权
Wei	涠
mây	藤
giải pháp	解法
thực tế	现实
Tự túc	自足
Xương bánh chè	髌
đen	黑色
áp phích	海报
canxi	钙
Ủy quyền	委派
đổi	换取
Thẩm quyền	管理局
Novgorod	诺夫哥罗德
Mụn rộp	疱
Ghế	席
Phòng triễn lãm	覽館
Bắt chước	彷
Tám hoặc chín	八九
Li	鞬
Đến	而來
Inn River	因河
Làm rõ	阐明
nghe	聽
Nghe	聽見
Anh bạn	布罗
bắn	斃
Bất khả chiến bại	無敵
um tùm	萋
Mỏ neo	主播
vịnh	海灣
Toàn bộ	一共
Quýt	橘
Sự bành trướng	扩建
Adenosine	腺素
Changshi	昌市
Ben	賁
Hợp đồng	契
Shao	掭
Zhuo	嬀
Fluke	僥
mưa đá	霰
Không vui	不快
Phạm vi ảnh hưởng	勢力範圍
Quốc kỳ	國旗
Malaysia	马来西亚
ngựa đực	骘
Tù có thời hạn	有期徒刑
vật lý	物理学
Nakajima	中島
gecmani	鈒
cố vấn quân sự	軍師
đường cong	曲線
Không đủ khả năng	不起
chuyến du lịch	遊
Ứng tuyển	适用于
đường hầm	隧道
chuyển khoản	转会
một nửa	半數
Cột	柱式
khắc	镂
Castanopsis	櫧
Axit nitric	硝酸
Album	專輯
Ukraine	烏克蘭
Hợp nhất	鞏固
Sele	塞莱
Tổ chức lại	改組
Kinsen	金森
thích hợp	一貫
Weinan	渭南
Bữa tiệc mới	新黨
nếm thử	嚐
Nguồn cung cấp	用品
tiếng Nga	俄语
Với	設有
Phòng chờ	候车室
Thợ nề	梅森
hung ác	虣
Chuyến bay đầu tiên	首飛
danh từ: Tọa độ	坐标
phòng tắm	浴室
Tour Miền Nam	南巡
Sony	索尼
Tashan	塔山
đồng âm	諧音
Không sợ hãi	無畏
phần còn lại	其餘
Mười của	十年代
Tổ chức	制宪
phòng bếp	廚
Qiang	羌族
Vận chuyển hàng hóa	货运
rộng lớn	广阔
súng lục	铳
ý định	意圖
Đáng tin cậy	守信
Co lại	缩
người phụ nữ xinh đẹp	佳人
Tha	藉口
Đường bờ biển	海岸線
axit	痠
họ đang	們是
Nhu la	如
Fiji	斐
Theo rõ ràng	據顯
viviparous	胎生
tiêu	椒
Nơi đo	该地
Klin	克林
Trung tâm mua sắm	商城
A	一條
đội tuyển quốc gia	国队
huy động	動員
Đầy đủ	佈滿
Hướng tới	向于
Lưỡng cư	两栖
thay thế	替換
ăn mừng	庆祝
Bang Bohai	渤海国
chiếm lấy	攻下
sốc	驚
hóa lỏng	液化
Quay	鏇
Guis	吉斯
Động cơ điện	电动机
y học Trung Quốc	中医药
đô thị	宗主
Nhãn	廠牌
Sensilla	感器
Tuần tra	巡视
Porsche	保時捷
Sau nhóm	組後
mạch tích hợp	集成电路
chổi	帚
Dòng sông màu vàng	黄河
ga tàu	驻地
Trận đấu	對賽
Vương quốc	王國
Nhóm tiệc	黨團
Doha	多哈
selen	硒
manh mối	線索
đĩa	柈
Lượt xem	览
Gọi nó đi	稱之為
Satsuma	薩摩藩
Tangzhen	塘镇
Ge	葛
Luôn luôn	一直
Siberia	西伯利亚
Thời gian nhẹ	輕時
Nước mắt	撕裂
liệt sĩ	烈士
cho ăn	飼
Tất cả các hướng	各向
tạo thành một cái tủ	組閣
Lật úp	朝天
lật đổ	颠覆
Nhà thiết kế	设计者
khác	他人
Tây Ngụy	西魏
Chạy trốn	逃往
hơi nước	蒸氣
Đội thắng	隊奪
Lá bắc	苞片
Dai	傣
Qiqi	七七
máy bay	客机
hung dữ	悍
khu bảo tồn	保护区
Thủy quân lục chiến	陆战队
tiền gửi	存款
sốc	震
Cardiff	卡迪夫
Serranidae	鮨科
Xuân	煊
Trên bề mặt	表面上
Khởi hành	发车
Sheng	晟
theo	遵循
hoạt động	作業
riêng tư	私
Bài báo	条
MẶT NẠ	西
Tiếp xúc	連絡
Jintao	锦涛
Số thực	實數
Joseph	约瑟
Đoàn kết	統一
hướng dẫn	导
Đánh giá	評估
Gustav	古斯塔夫
chuyên gia tư vấn	顾问
Xin	忻
Với Chen	與陳
nhân từ	慈悲
Tàu du lịch	邮轮
hùng hoàng	錸
Công cộng	公有
sáng kiến	倡議
Thames	泰晤士
nửa đêm	午夜
Dongan	东安
quan liêu	官僚
Damp	阴湿
Truman	杜鲁门
poker	撲克
Lanh	麻科
Những người tốt	好者
Hư hại	損毀
Pan American	泛美
Mili	米利
Mô-đun	模組
La	啦
Oshima	大岛
Văn phòng	事處
đá quý	寶石
Con đẻ	后代
Khu vực danh lam thắng cảnh	风景区
Tuần tới	后周
Quốc tịch Yi	彝族
Sa mạc	沙漠
Thời kỳ cao điểm	高峰期
Bằng thạc sĩ	碩士學
Cùng bộ phận	同科
sắp xếp	捃
Chim ưng	鷂
Thô	粗糙
Bermuda	百慕
Cảm thấy tốt hơn	好轉
song song, tương đông	駢
Huy hiệu trường	校徽
Masaji	政司
Âm	奣
Mười nghìn	萬名
Yong	镛
Kết nối	接駁
và	及
Tiếp tục	續
khuôn mặt	面孔
Ai	瑷
cầu	桥
cối xay	礱
Wa	瓦河
Cái đầu	人首
lãnh đạo của một quốc gia	國家元首
dấu vết	蹤跡
Sau đó	則將
nghiêm khắc	严
Taihe	太和
thờ cúng	拜
có	擁有
đắt	昂貴
Xung quanh	身边
hạ nghị viện	下议院
Đồng thuận năm 1992	九二共識
chưa	還沒
Meiling	美齡
Tiếng Thụy Điển	瑞典语
hydroxyl	羟
quái vật	妖怪
Noe	锘
chặt chẽ	紧
hoạt động	行动
tòa án	庭
Cuộc đua	人种
Yu	踙
Thorium	鍒
Mực ống	魷
An	安
Đàn bà	女方
Yi	俋
Wilson	威尔逊
Phát triển công cộng	公開發
Shan	鱯
lễ hội âm nhạc	音樂節
thay đổi	換
Wu	武
nghiêm trọng	嚴重
Trường y tế	医学院
Trang trí	裝修
Trả lại	還給
khát	渴
Bắc cực	北极
Cuộc sống	起居
Seju	世居
vấn đề	發出
Bà	太太
Xe ghế	座车
thâm nhập	渗透
nâng lên	撬
FA	足總
Lăn qua	辗
âm dương	陰
vật trang trí	锒
giải cứu	搶救
Phối hợp	合
Nhà dân gian	民居
Phát xít	纳粹
bass	鲈
mặc dù điều này	尽管如此
Bowling	保齡
sự chỉ rõ	规范
thương	鎩
Của không	的無
Hát	墎
trang	页面
Lyon	里昂
Nhóm dân tộc	族群
Các thành viên	員会
Jian	蹇
Bing	邴
Cho phải	為對
đài quan sát	天文台
Con dốc	匝道
Chủ tọa	主委
Yu	奜
Rockefeller	洛克菲
Ab	阿卜
Cũng được thiết lập	亦設
Giám sát	班长
Nhiều nơi	多處
chữa lành	瘳
Băng nhóm	岡
Hiệu sách	书局
sợi chỉ	缕
bình yên	寧靜
được đặt tên	命名為
cộng sự	夥伴
Tâm thất	心室
Uy tín	盛名
quay số	拨
Tan	賩
Đoàn kết	统一
Qingling	庆龄
Xây dựng	樓宇
Jiao	涽
lòng yêu nước	爱国主义
Trưng bày	展出來
Mười tám	十八
Den Bosch	登堡
MRT	捷運
Mùa này	本季
Literati	文人
bông mịn	纩
Gửi đi	遞交
Ít hơn	不及
Chuyến thăm	参观
vòng cung	弧
Trường phái ấn tượng	印象派
Đột kích	突襲
nhiệm vụ	责任
Đại học Thanh Hoa	清华大学
Tưởng tượng	设想
tha lỗi	諒
sản xuất tại	产于
Rory	羅里
Thị trấn cầu	桥镇
Ju	琚
Miyagi	宫城
phát triển kinh tế	經濟發展
Rất nhiều	大量
Đại học Úc	澳大
Người dân địa phương	地人
Khoa học viễn tưởng	科幻小說
Quan hệ họ hàng	親緣
danh hiệu di cảo	谥
Trích dẫn	引述
Thứ mười chín	十九日
Đồng ý	篤
Đào	挖掘
Mỗi năm	年年
Các loại	類型
Số Pi	埤
cho thuê	租約
bảy mươi	七十
Kei	箕
Chăm	湛
Richtodd	里士多德
lực lượng	強行
Quyền hạn	轄區
Choáng	愼
phòng	房
lâm nghiệp	林业
Cộng sản	共產
Hằng số	該恆
Biên độ	幅度
Lian	琏
Hàng châu	杭州
ẩn giấu	躲
Liên đoàn thanh niên	团委
Thẩm phán	判
Băng nhóm	謢
Nghiền ngẫm	芻
Thông thoáng	澄
Gạo nếp	饸
Người phụ nữ cao tuổi	妪
Anh hùng	群雄
thơ	詩
hộ tống	護航
bài báo	物品
Hạng Vũ	项羽
bầu không khí nặng nề	氳
đục đẽo	劂
Cấm	禁止
Mặt đất nặng	重地
Phần giáo dục	教育科
Tình nhân	恋者
Chongxi	崇禧
Tây Ninh	西宁
Pipit	鷚
Giải thưởng Người	人獎
Đây	这里
đỉnh cao	岧
đỏ	红色
Được thiết kế cho	專為
che	盖
Hui	迕
bươc	步驟
Không	沒
nhà nghiên cứu	研究员
cây	楰
mỏ neo	锚
biển Đỏ	紅海
Kể từ thời thơ ấu	自小
lò lửa	爐
Yi	樿
trợ cấp	補貼
Đại học Bách khoa	理工大學
khuyến khích	鼓励
ở gần	近
Xi	奚
Con rắn	蛇座
bài hát	歌曲
từ thiện	慈善
Đấu thầu	標賽
Huyện	尔区
thối rữa	朽
thực tế	实
Triển khai thực hiện	实施
Mo	謨
xấu hổ	窘
Zhiqiang	志強
Alice	愛麗
Ulu	乌鲁
Tiểu Vương quốc	酋长国
Sự chuẩn bị	筹备
Ethanol	乙醇
trả lễ	致敬
sau đây	下列
Điều đáng tiếc	悕
Đồn cảnh sát	警察局
Trận chiến	戰賽
Xin vui lòng tham khảo	請參
theo đuổi	奉行
Perylene	苝
Bảo vệ	衛冕
cũng thế	又
dính	黏
Pha lê	晶体
Antioch	安條克
Hạn ngạch	名額
He Shen	和珅
Miễn phí từ	免于
Thừa nhận	考上
Sẽ được phát hành	會發
bối cảnh	景象
có hiệu lực	现行
Aegean	爱琴
Đều đặn	正则
Harvard	哈佛
Lan xe buyt	巴士線
Một số	某個
Vua hoàng đế	景帝
Ở trên	上述
Jie	杰
Pseudo	偽
Qi	炁
khúc dạo đầu	序幕
Quảng đông	廣東
Li	郦
nặng	惨重
bệnh tật	癃
coban	鈷
quan hệ tình dục bằng miệng	口交
sự phân chia	師團
Chi	邆
Thế giới	天下
vi mô	微
mê sảng	谵
Khoa	教職
Đã qua đời	過世
lặn	潜水
Nó	伊特
nhà ở	屋
Lắng đọng	沉積
Tổ chức đảng	党组织
Kiểu chữ	字樣
Đào	棪
Pheno	吩
Thử	試著
Đổ bộ	着陆
Giống nhau	形似
Di truyền	遗传
Proton	质子
cái nêm	楔
Quốc tế	国际
Nói dối	卧
Li	雳
Sức cản	电阻
in vivo	體內
công khai	公然
Thị trưởng	區長
mendelevium	鍆
Technetium	锝
Biệt thự	墅
Được mời	受邀
đứng trên	站上
Acridine	吖
phòng bên	眃
Được xuất bản trên	發表於
Xem xét	審
Chôn cất	埋
Liao	遼
cá mập	鯊魚
trò chơi	比赛
người phụ trách	馆长
Đồng hành	伴隨
Hát	吇
Nước Tần	秦国
Mảnh này	这块
Kuan	夼
Ling	竓
ý kiến	意见
tính khả thi	可行性
Thị trường	市道
toàn cầu	環球
Được xây dựng trong	内设
đóng gói	收拾
Quản thúc tại gia	软禁
Đồ cổ	仿古
Phương sách	胜地
ánh sáng mặt trời	陽光
Bất hợp pháp	違法
Tru	特魯
bạc	白銀
nhào bột	韍
Vụ nổ	衝轟
Chuỗi	字串
Trẻ em	小朋友
ngân hà	星系
Kiel	基爾
ngâm nước muối	醓
ổn định	厩
Đèo Nam	南傳
Bị thương	受伤
Cơ quan đặc biệt	专署
con át chủ bài	王牌
sô cô la	巧克力
Giải thưởng Chuông vàng	金鐘獎
Mặc du	雖然
tối	晦
cuộc đua	种族
Ngừng xuất bản	停刊
bực mình	生氣
tiên phong	先锋
Thành lập tại	設立於
Mang lên	培养
chốc lát	瞬间
nhập cảnh	條目
giấy phép	許可
cá nhân	个人
Tính là	計為
quân đội	军队
Tụ họp	集结
Ngôi sao neutron	中子星
như một trung tâm	為中心
suy luận	推斷
Nền kinh tế thị trường	市场经济
cáo	狐
Texas	德克萨斯州
tuổi trung niên	中世纪
Hàng đầu	顶级
Ra trận	开战
quả anh đào	樱桃
Bên nước ngoài	外方
con dơi	蝙
đổ	倾
Số lượng	數達
Còn lại	剩余
Trong nhà tù	獄中
ngoại quốc	外来
thay đổi	改
Guohua	國華
sử dụng	用法
Các quốc gia phát triển	发展中国家
luyện kim	冶金
Thái giám	太监
Tôi sẽ	滋病
chủ nghĩa Mác	馬克思主義
chim bồ câu	鸽
tỉnh / bang	州省
Ren	谺
đạo giáo	道家
thân cây	梗
cách	方式
Cho thuê	承租
Xưởng máy	機廠
đừng	别
Mela	梅拉
Ra khỏi văn phòng	出仕
Tham gia	涉足
Tát	飏
Gằn giọng	踲
lịch sử không chính thức	野史
dòng chảy	径流
đồng tâm	同心
hạt dẻ nước	茈
bán	沽
Chao ôi	噫
Pháp luật	法例
Người sản xuất	制片人
Trận đấu	赛的
hình thức	形態
Đông chí	冬至
thác nước	瀑布
Đặt nó	將其
Taipa	氹仔
Xianzong	憲宗
Chấn thương	傷勢
Kiệt tác	名作
Saka	阪
Nổ tung	炸毁
Bản chất	精華
Xe đạp	單車
Âm	釺
Sinh thái học	生態學
Huyện hành chính	行政区
tàu tốc hành	快車
Ăn	攝取
Số Pi	乕
Niigata	新潟
khu vực	病房
liên doanh	合資
Chìa khóa	鑰匙
AIDS	愛滋病
Đính kèm	附加
bàn luận	討
Vegas	維加斯
con bò cạp	蚣
Su	蘇
Bình luận	評
Như thể	猶如
Anh ta	臚
ngã	失陷
đi ra	出來
