Lụa	絹
Cá đối	鮻
hố	阬
vua rồng	龍王
Rào cản	路障
Đại hội nhân dân	人民代表大会
Nissin	日新
sự chuẩn bị	預備
xin chào	囉
Phong thủy	風水
tại sao	为什么
Chiến đấu	作战
Lu Shi	陸時
Máy gầu	鬥機
bài bạc	賭博
Tử vong	殕
thực ra	其是
Zan	瓒
Cấp bậc quân sự	军衔
Vô vi	贤
hiển nhiên	明顯
Yên tĩnh	蛘
hội,, tổ hợp	集會
Trong thành phố	城內
Âm thanh	音訊
gấp đôi	雙重
Sa thải	撤职
Tian Xin	田信
Khó xử	狢
Nhiều	诸多
dựa theo	依照
chọn ra	整理
tâm trạng	情绪
Kể từ đó	自此
Tiền vệ	中場
Giáo Hội Presbyterian	長老教會
Vấn đề	印发
pháo đài	砲台
Yu	鸜
Disney	特迪士尼
cốc thủy tinh	玻
Ling	廩
Hẻm hai	峽兩
Làm vỡ	殛
Ba	芭
Một người có tên	一個名為
Isle	爾島
cột buồm	桅
Buồn bã	爆冷
Vì vậy và như vậy	某某
tiền boa	尖端
Tang	椼
tiền giấy	鈔票
Cắt	切斷
Trả	饷
Saint Eti	圣艾蒂
một mình	独
cửa sổ	窗
Kiệt sức	儘
Thung lũng	沟谷
Yun	郹
huy chương	奖章
Yiyang	益阳
hiểu biết	學問
Thị trường	市面
Raptor	猛禽
Listang	列当
Năm triều đại và mười	五代十
Tong	伬
quanh co	曲折
Tỉnh sơn tây	山西省
khai thác mỏ	采矿
Bán hàng	銷售
lễ kỷ niệm	庆典
Cảnh báo	警示
Phiên âm	音標
Bóng rổ nam	男篮
dựa theo	根据
Mãn Châu	满洲
Zunyi	遵义
Tins	廷斯
Tỉnh Kumamoto	熊本縣
Nhóm với tư cách	組為
vị trí	所在地
Tương phản	對較
Bỏ qua	解除
có	具備
Ngừng	停产
Đến	侢
lau	拭
Máy bay vận tải	运输机
Bánh	皮耶
Từ đồng nghĩa	異名
Delhi	德里
natri	钠
Epiphysis	誺
Thời cổ đại	古时
Zi	訾
Miu	繆
ăn	喫
Đấu thầu	嫰
Castanopsis	槠
Châu thổ sông Châu Giang	珠三角
buổi tiệc	黨
Hồi sinh	振兴
Trả	支付
trở về	归还
Tang	蟮
Sau đó Jin	后晋
Shi Le	石勒
Nhàn nhã	悠遊
Khách sạn	宾馆
Thời gian sẽ	時將
Đối với hoàng đế	为帝
Dom	多姆
chồi	芽
Xung quanh	周遭
Ying	襍
Kuala Lumpur	吉隆坡
Gạo lớn	大稻
mộc mạc	窶
Ban giám đốc	董事會
Thư ký	书记
Điểm đến	點為
nông trại	农场
Giải thưởng	颁奖
Sự phát triển	演变
nhóm	群體
Hội chứng	症候群
Cossack	哥萨克
cá thu	鲭
thăng bằng	平衡
mệt mỏi	疲劳
Phỏng vấn	面試
Binhai	濱海
Chiếu	俣
Chì	领衔
Trông mong	憧憬
cộng sự	搭檔
Gabriel	加布里
mất kiểm soát	失控
tắt	關
tu sĩ	僧侣
Wuwei	武威
nhà ngoại giao	外交官
mong	望
Thông dịch	詁
gái điếm	妓女
nước mưa	雨水
con rể	女婿
cột cửa	棖
Trước bức màn	幕前
Shuhan	蜀汉
Khen ngợi	赞誉
Dhara	陀羅
Tiệm thuốc	药学
Cho học tập	為學
Luo	泒
Hor	鷎
Nhân viên bán hàng	务员
Bên phải	的對
Metropolitan	都察院
Sơ tán	撤離
Già hơn	榿
Qi	秥
Khuyến mại	升任
thử	設法
Vùng miệng	口区
Đường bên	側線
kéo ra	擢
Thuộc sở hữu nhà nước	國有
nhỏ	微小
Liên doanh	合营
Mẹ chồng	婆婆
Carter	卡特
Rạp hát	戲團
Rhein West	莱茵威斯特
Nắm bắt	查封
Việt Nam	越国
nhà hàng	餐厅
Du kích	遊擊
Xiucai	秀才
Tên Cu	舊稱
tuân theo	听从
Thea	西娅
buộc lại	敿
Đã nói ở trên	前述
Cứng rắn	刻板
gầy	臠
Ryukyu	琉球
Xi	橚
làn sóng	波浪
Lấy được	推导
mô hình	典范
Manche	曼徹
đường hầm	隧
lối đi bộ	阡
Cichlidae	慈鯛科
Mua lại	收購
Khí thải	排放量
Gonghe	公河
cục bướu	坨
rộng rãi	廣為
Adenosine	腺苷
cơm	飯
Thiết lập	設置
thiền học	禅宗
kết thúc	結束
Chim đa đa	駹
Băng	顛
Li Cheng	李承
ấm áp	暖
hợp đồng	协定
tuổi tác	年紀
hỏa tiễn	导弹
tình cờ gặp nhau	逅
tiếng sét	霹雳
Sự hỗn loạn	之亂
con quạ	蠿
Tôi	亖
Gan Ning	甘迺
giấy phép	准许
mơ	梦想
bẩy	弇
bình phục	收復
di cư	迁移
tụ lại	輳
Thử nghiệm	審理
ánh sáng	燈
cuộc đua	赛马
Mỗi hộ gia đình	每户
Yuan Zhang	元璋
Haikou	海口
Băng ghế	板凳
thành phần	元件
lòng tốt	仁慈
dysprosium	镝
Khảo sát	勘查
sợ hãi	吓
ngã	跌
Qi	亓
Nhị phân	二进制
Mẫu xe	車款
Daozi	道子
Florence	佛罗伦萨
mạnh	壯
Đã đến	赶到
Đường núi	山路
đo lường	斠
hành lá	薤
Huaibei	淮北
Đối với giữa	為中
mối quan hệ	關係
Phi tuyến tính	非線性
Giai thoại	轶
bụng	肚子
Băng qua sông	渡江
không nói nên lời	貊
Toàn bộ khu vực	總區
Catherine	凯瑟琳
Thành lập	建制
Dòng là	線是
Hoàn thành	圓滿
con hàu	鮚
Làm sao	咋
Kip	硤
Thời cổ đại	远古
sản xuất	出產
hành trình	旅程
lối đi bộ	蹊
Đường sắt nhẹ	轻轨
bảo vệ	鎮守
thay đổi	轉變
gậy	羅德
Fred	弗雷德
Thở dài	嗂
Kuai	哙
Li	槂
Tran	特兰
Văn phòng	公署
Độc thân	單一
Yan	剣
phụ tá	助手
tham nhũng	腐败
Aquitaine	阿基坦
Tát	秞
cà vạt	紥
Mười triệu	千萬
nghĩa hẹp	狭义
Dồi dào	丰
Học viện Khoa học Trung Quốc	中科院
Làm hết sức mình đi	盡力
Xấu xí	狥
vui vẻ	樂
Âm	鶑
Lòng tốt	善良
Cứu giúp	濟
nhu la	之类
bờ sông	漈
Hút thuốc	吸煙
Lân lượt tưng ngươi một	紛紛
Doanh trại	軍營
Chúa	主
Không bao giờ	未曾
Tài chính	财经
Khi nào	時則
kiểm tra	檢驗
Dự án bảo tồn nước	水利工程
Số Pi	貔
Thoải mái	舒服
bên trong	裡的
Hạt Chuan	川县
Cùng tên	齐名
Enix	艾尼克斯
ngọn hải đăng	燈塔
Quốc gia hùng mạnh	強國
Yi	稾
Abutilon	苘
thay đổi	变革
Lưu trữ	代管
Fluke	侥
Móng chân	蒂
màn	屏風
Bài hát	淽
giấy phép	牌照
Biya	比亞
xích đạo	赤道
gặp	迎接
Min	稔
Ở nước ngoài	境外
Mycin	黴素
thông minh	優
Tam giác	三角
ngớ ngẩn	憨
vẫn	依旧
Quan Vũ	關羽
Họ đỗ quyên	杜鹃花科
Phát sáng	发光
Herbert	赫伯特
liên đoàn	联赛
Bộ	瀬
Rang	穉
Wesley	衛斯理
Thuê	僱
Leary	莱里
Sông tây	西河
Montreux	蒙特勒
Không hiện diện	未在
Ayu	阿育
gò đất	塚
hạt thầu dầu	萆
Macao	澳門
Sỏi	斯通
biện hộ	求情
cháu trai	侄
Mạnh Tử	孟子
Tong	鞀
Trung đông	中东部
Âm	莤
cuộc thi	竞争
Người biểu diễn	演奏家
Huang Wei	黃偉
Sững sờ	怛
Đừng	別是
Cả bộ	整套
con đường	徑
Đổ	斻
Mẫu	纹
Thủ công	工藝
có hại	有害
mãi mãi và luôn luôn	永遠
Tài khoản	账户
sau	以後
mọi tầng lớp xã hội	各界
Milo	米洛
sự hy sinh	禋
không dây	無綫
Choáng	愫
xe tăng	油箱
Tsing Yi	青衣
Đọc tiếp	讀於
Trái	左方
Quy đổi	挽回
Hai	兩位
quả bầu	葫芦
dấu	瘢
thành phố Kaohsiung	高雄市
uốn cong	彎曲
Sting	螖
Bảo vệ quận	郡守
lớn	碩
Chiến trường	战区
Bannerman	旗人
Thay đổi	改採
sự phồn thịnh	繁荣
giới thiệu	推荐
Tin tức không dây	無綫新聞
số liệu thống kê	統計
Chân dung	畫像
lớn lên	长大
Giai đoạn = Stage	期內
Mộ	墓前
Manila	马尼拉
Yi	佻
Liêu Ninh	辽宁
Tai Wai	大圍
Fengyun	风云
công tắc điện	开关
Tuntian	屯田
một chút	一点
Theropod	獸腳亞目
bố trí	布局
Sau ga	站後
phim ảnh	影片
im lặng	默
Không cho	不予
Tên gọi chung	俗称
Yamaguchi	山口
Thêm vào	增修
Đầu độc	中毒
Đã thanh toán	付费
nghèo	貧
Xuantong	宣統
Không có khả năng	无法
Giảm xuống	沦为
cổ phần	股票
Tom	汤姆
Nhạc trưởng	指挥家
từ tính	磁
nhìn lướt qua	瞥
hệ thống	体制
Một trăm ngàn	十萬
mũ sắt của lính	冑
Theo	随
Quân tình nguyện	志愿军
Va chạm	相撞
Hang hốc	伯罗
Desen	德森
bất động sản	财产
khạc nhổ	啐
Kanto	關東
Lạch	拉赫
Đổi lại	改回
Yu Liang	於兩
Tượng đá	石像
Axit cloric	氯酸
thích hợp	妥善
Jian	臇
đối diện	對面
Người hầu	侍講
Tây An	聍
Đội tại	隊於
Noor	诺尔省
hơn	宁
quá trình	進程
Xe ô tô	該車
cơ thể con người	人体
Từ chức	辞
tình trạng vô chính phủ	无政府
Đông cứng	結冰
ống kính	透鏡
Thẻ	咭
tốt	井
nền tảng	基金會
trang sức	瓖
che	覆蓋
hai mươi	二十
Ngày hè	夏日
Cuo	厝
kỹ lưỡng	徹
Yi	亁
tuyến tụy	胰
Gần bằng phẳng	近平
Nhúng	寖
Deng	鄧
đậu	荳
Tỷ lệ trúng	命中率
giảm xuống	驳回
Bulli	布利
Buồn phiền	瞶
Đào	桃
má	頰
Sway	溎
sổ tay	手册
Otto	奥托
Ji	稷
Bỏ tiệc	退黨
Philly	菲利
Tát	輗
tranh luận	辩论
Hồng Kông	港府
Đang chuyển hàng	航运
tối ưu hóa	優化
phòng chờ	休息室
khô héo	凋
Giao hưởng	交響
Ying	蓥
trọng lượng cơ thể	體重
Cống hiến	投身
Gì	呢
Cái khiên	盾牌
Cấp	位居
Đông Tây	东西向
Triều Dương	潮阳
Ngã xuống	脫落
Đẩy	撵
cũng thế	还
Nơi gặp gỡ	会场
Khuôn mặt	臉部
Sự đối lập	对立
móng guốc	蹄
Wentai	聞台
theo	追隨
Nhu la	诸如
Đối xử như	当成
Điểm A	甲級
vector	向量
Tụ họp	集結
Tài liệu chính thức	公文
Yan	盠
mô phỏng	仿真
An District	安区
thiên văn học	天文學
Người cưỡi ngựa	馬術
không khí	空气
Ya	娅
tốc biến	閃
Đến	冾
Quân ủy trung ương	中央军委
Tiền nhiệm	前人
Siêu nhân lực	超人力
Zhongshan	中山
Diễn viên	投出
bố chồng hoặc bố vợ	岳父
Hồ Nhật Nguyệt	日月潭
Bệ hạ	陛
cafein	咖啡因
Wu Song	吴淞
Tin	鈿
Một tỉnh	一個省
Người Đức	日耳曼
Hệ thống bit	位制
Nâng cao	籌
Máy ảnh	相机
Santa Cruz	圣克鲁
Bờ đối diện	對岸
con nhện	蟢
Rhone	罗讷
trở nên	變成
đổi	匯
bắn hạ	击落
Dòng hàng	行線
Triển khai thực hiện	施行
Mật tông	密宗
kiểm tra	測驗
Tuyệt chủng	滅絕
Pan	菫
Sao chép	拷
đá	嵒
Alaba	阿拉巴
Massa	马萨
đơn vị	机组
Hy vọng	預料
Ngớ ngẩn	倕
Chức vụ	职位
bẩy	陷阱
Nan	湳
Ba mươi năm	三十年
Jie	桀
lực hấp dẫn	引力
Trước	從前
Thư viện	书馆
Chuyến tham quan	图尔
cấp độ	級別
ho	欬
Tiền lương hàng tháng	月薪
Đàn ông	作人
Chắc chắn không	定不
Giải thưởng	等奖
ban công	阳台
Vài lần	幾經
nhóm	羣
cần thiết	必要
Khen ngợi	讚賞
Thiểm Tây	陕西
con bò	菟
Min	旼
Tìm thấy	发现
Biên bản chiến tranh	戰記
Người kéo	普勒
Hành sơn	衡山
Nimble	旎
con trỏ	指针
Dài hạn	永久性
Công cộng và tư nhân	公私
Con la	檡
thực tế	真实
Luo	泺
sự sụp đổ	倒闭
Pere	佩雷
Xe tại	車於
Urê	脲
thuổng	铧
Mọi nơi	處處
ô	繖
Quân đội dã chiến	野战军
triển khai thực hiện	落实
Nhiều hơn và nhiều hơn nữa	越来
nước chảy	湓
Tướng	諸將
vay	貰
giảng viên	讲师
Long Môn	龍門
giọng nữ cao	女高音
Ji	佶
chắc chắn	某
Tốt hơn	優於
Tổ chức	立憲
Đúng hay sai	是非
quặng sắt	鐵礦
Xà lan	重子
kiểm tra	考驗
bỏ qua	黜
Gang thép	鉟
Dương	烀
Timur	帖木儿
Thủy sản	水产
Thương hiệu mới	崭
bày tỏ	特急
chủ đầu tư	投资者
nhiệt độ	溫度
đội tuyển quốc gia	國家隊
nhân chứng	证人
Đặt vị trí tại	座落於
lái xe	带动
Tron	特龍
Qiu	湫
con nai	鹿
Larry	拉里
Shiye	什葉
Khóa học	學程
người môi giới	儈
Lượt xem	观
huyết khối	血栓
Quận Yi	义县
Mái hiên	帟
Không thích hợp	不宜
Vượn	鹓
sự chuẩn bị	製備
toàn bộ	共計
Đối với Hồng Kông	為香港
nơi trú ẩn	庇护
Baltic	波罗的
Yan	閻
Cổ vật	古物
giá trị trung bình	平均值
thật	确实
Hai mươi chín	二十九
tia chớp	闪电
Hoa Kỳ	合众国
Ghi chú	註
Sass	萨斯
bò	爬行
hoàn toàn	純粹
Đã được	當過
chất tẩy trắng	洴
Đã chọn	入选
Tàn phá	椂
Thang cuốn	扶梯
Phía trong	內側
Anan	阿南
Uta	宇多
Sức khỏe	健康
cây thông	乔木
Điểm nóng	熱點
ghế đẩu	櫈
Và bây giờ	與現
bất diệt	神仙
Quench	焠
sức mạnh	劲
Luohe	罗河
Hạt giống như	種為
uy tín	譽
tư pháp	司法
Ku	馚
tốt nghiệp	畢業
Bảo vệ	警卫队
giỏ tre	蓧
Nhà Tống	宋代
Đã chọn lại	蝉联
厍	厍
mạng lưới	净
sự đánh giá	賞識
mồ côi	孤兒
thèm muốn	覬
chăn nuôi	畜
diễn viên	演員
Lạc sơn	乐山
Hidebun	秀文
Vội vàng	蔺
Tự do	自由泳
Thang máy	升力
dền	苋
Jamaica	牙买
Đại pháp	大法
Và không	且不
giai đoạn = Stage	期间
Chim	鹴
Học sinh trường	校生
Một nhóm công ty, tập đoàn	集团公司
Cam chịu	注定
Đa dạng	多樣性
Đầu tiên	首台
ma	幻象
hố	孔
Sau chiến tranh	大戰後
lộ trình	衢
Moore	摩尔
Trục	軸心國
Chi	碬
Joseph	約瑟夫
Hư không	不通
Thuộc da	鞣
Quốc gia và	國與
Liên minh Châu Âu	歐盟
Chức vụ	職
Tự cải thiện	自強
Phòng tập thể dục	道館
Triều đại Jin	晋朝
Tầm nhìn	视觉
cắt	削
khả thi	可行
Jia	蒈
suối	涞
kem	奶油
Người	人稱
Có thể được mô tả là	可谓
Đại học Dan	旦大学
nghề nghiệp	专业
hàng tuần	每週
Max	最大值
lãnh thổ	疆土
biến cố	事变
Bang Jin	晋国
Giả mạo	造假
Sự mở rộng	搨
Meke	梅克
ăn năn	懺
Liao	辽
rệp	蚜
gạo nếp	稌
Metyl hóa	甲基化
Hấp	蔄
lái xe	駕車
Trung tâm của lực hấp dẫn	重心
Mingcheng	明成
Ngừng bắn	停火
Ying	魩
cản trở	礙
con cóc	蟾
Xindi	新地
Thiên nhiên	本性
Đinh hương	丁香
Tàn tật	瘛
Điện	的電
trêu chọc	挑釁
Thứ duy nhất	唯一一
Howard	霍华
Ở Đài Loan	於臺灣
Thủ lĩnh	領隊
Hitter	擊手
Pilose	柔毛
tiết tấu	擂
Tốt	唔
Quận Daan	大安區
Xấu	坏
Barna	巴納
lốc xoáy	气旋
Không gian xanh	绿地
Thành Troy	特洛伊
bóng râm	蔀
khi nào	当
gốc	起源
quần chúng	群眾
Papua New	巴布亚新
Phát biểu	言論
cây rìu	斧
hoa sen	蕖
Tiếng Quảng Đông	粵語
Bit	位元
Pule	普列
Labang	拉邦
Sự khác biệt	區別
Ad	阿德
phát sóng	广播
chim ưng	鹫
Âm	騴
Zhuo	涿
lanhung	有沒
Bài đăng	帖
Lu Jun	路軍
Xiaoping	小平
thành phần	作文
Mỏ đá	鰂
Khoa học xã hội	社会科学
kính viễn vọng	望远镜
Sắc bén thịnh vượng	尖旺
Tên	命名
Nhận xét	備註
giống	相仿
Thay đổi chữ cái	改信
Kowloon	九龙
Baylor	貝勒
Buồn phiền	慅
Đại số học	代数
Sữa bột	奶粉
Zong	宗
Những cái đó	那些
Học viện Khoa học xã hội	社会科学院
Tắc nghẽn	堵塞
Chạm tới	达成
Người dơi	蝙蝠俠
chúng tôi	咱
Heng	蘅
Quy mô lớn	大规模
Toàn tiểu bang	全州
Gulou	鼓楼
Tinh vi	饌
Chim ưng	隹
Kéo dài	橫跨
nơi trú ẩn	庇
Cơ khí phụ	子力學
cái cưa	鋸
Nordau	諾道
ôm	搂
mua chuộc	赇
Con Suối	山河
Bay tới	飛往
Hát	俻
triều đại nhà Thanh	清代
Độ sáng	光度
Cơ đốc giáo	基督教
súng	砲
Oda	織田
Shao	猻
bươm bướm	蝴蝶
Kiểm tra	验
Giấy	紙張
Hai cái thì sao	約兩
Muốn	緝
Vỏ rùa	玳瑁
Giữ	持股
Trả lại	回饋
Xuân	煡
Đóng băng	愣
Thế giới	世人
thắng lợi	赢得
mặt trời	太阳
Ami	阿密
Ying	滢
Trong thế giới hoang dã	在野
quyền lực	大權
Có lông	褢
Cam Túc	甘肃
Lexue	樂學
Huyện	區內
nghịch lý	悖论
Cuộc họp chung	联席会议
nguồn sáng	光源
Hoàng Tiểu Long	孝文帝
Sẽ	意願
Tên thật	现名
trong số họ	其中
Tới đây	對此
Phối hợp	驸马
cù lao	沚
Âm	麌
Thời phục hưng	文艺复兴
nấm	蘑
Shueisha	集英社
tu sĩ Phật giáo	闍
Gatehouse	门楼
Mặt biển	海面
ảo	虛擬
giảm giá	折扣
Lớp ngoài	外层
Một khoảnh khắc	一刻
Đáp lại	回复
phần mộ	墳
Đền bù	偿
học sinh cấp 2	中学生
cắt	断绝
Gọi là	簡稱為
Sum họp	重逢
Họ Urticaceae	荨麻科
Zheng Guo	鄭國
Jiao	昻
Chết	殑
vô ích	枉
quỷ hạn hán	魃
Mobei	漠北
cuộc thám hiểm	遠征
Đúng	耶斯
Xing	興
Ven sông	滨江
Queer	陁
Panchen Erde	班禅额尔德
kiềm	堿
Đường Dun	敦道
Số lẻ	單數
Xấu hổ	膮
Ukraine	乌克兰
Gà lôi	鹇
Tỉnh	斯省
Âm	猡
Loach	鳆
tiếng ồn	噪声
Hu	阺
Tình nguyện viên	志愿者
sương	椲
trận chung kết	总决赛
Coi chưng	望台
Duy Nhất	賎
Kali	鉀
Thứ mười ba	十三日
Đồng âm	同音
mặc định	默认
cạnh	棱
vườn	園林
Xing'an	兴安
Tuần tra	巡視
Kanto	关东
Thẳng	平直
Wan	涙
thánh	聖人
Bệnh phấn trắng	白粉菌
Zan	璓
Tòa nhà văn phòng	字樓
tiền lệ	先例
Dính vào	固守
Thế giới trong	世於
mét khối	立方米
Sức khỏe	卫生
tháng Tám	奥古斯特
món thịt hầm	炆
ngân hàng	畔
Wentai	文泰
Nhiều năm sau	年後
cuộc nổi dậy	起义
Trao đổi	交流道
Hoàng đế Wu	武帝
ghi bàn	比分
Mô hình xe hơi	型車
Kyle	凱爾
Với	過與
Làm	作
Nguyên nhân chính	主因
Âm	錤
Gây quỹ	募款
Roman	羅曼
nhân cách	个性
phần thưởng	赏赐
bẻ cong	弯
Đang xảy ra	情况
vu khống	谗
Kim tuyến	橪
Huấn luyện viên	執教
Nhổ ra	吐出
phalanx	方陣
Cả hai giới	两性
Mô hình hóa	建模
Suy nghĩ	思議
Đưa cho	让给
Xiahou	夏侯
Phillips	菲利普斯
tóc	发
nhật thực	蚀
Vason	瓦松
Gia	吉亚
trăng non	新月
Người dàn nhạc	配器
Sau	之後於
đoàn kết	共識
Hualien County	花蓮縣
chắc chắn	一定
Bandai	萬代
Yu	瑀
Nondescript	不伦
Nhanh	迅猛
Giữ lấy	執
diễn viên	演员
Wan	宛
quyền lãnh đạo	霸權
cơn ác mộng	魇
Tuyển tập văn xuôi	散文集
Lou Wei	樓為
Li	蕝
Với tình yêu	與愛
Nhát	悩
gà tây	土耳其
Nông nghiệp	養殖
Northland	諾州
WHO	誰
Đài loan	台湾
động cơ	發動機
từ giờ trở đi	今后
mù sương	缥
Chi nhánh	支部
Anh ấy sẽ	他將
Lý do	为由
Quỷ lùn	绌
Chết trong trận chiến	战死
lý luận	推理
phòng thủ	辯護
đôi khi	有时候
Lưu trữ	牵制
Nanhe	南和
Áo sơ mi	卹
Zhang Guo	張國
Thẩm phán quận	縣令
Ireland	爱尔兰
Daoxiang	稻香
bình thường	正常
Một lát sau	後才
Sâu	蠘
Thượng hải	沪
Chạy	润
Jiquan	極拳
cây khổ sâm	龙胆
Clough	克拉夫
Pokemon	神奇寶貝
cả ngày	全日
Gọi nó đi	称之
Gặp nguy hiểm	危
Đột phá	分场
Khoa học viễn tưởng	科幻小说
Sonata	奏鳴
cá mập	鲛
Luật là	法為
sự sỉ nhục	羞辱
Đột nhập	突入
mương	壕
tăng huyết áp	高血压
tay	手部
Shiwei	氏為
Quân đội và	軍與
Hm	姆
Áp dụng cho	应用于
Penang	槟城
DuPont	杜邦
xuyên qua	透
Và vượt qua	與傳
Cơm	稻米
Gốc	源地
Tỉnh quảng đông	广东省
nạn nhân hy sinh	饩
nhà phê bình	評論家
Buồn	悻
Miếng	件
gecmani	锗
bông hoa	花
Chan	奵
Lối thoát	生路
Tỉ lệ tăng trưởng	長率
Phản ứng	回应
ranh giới	边界
Được khai quật	出土
nhặt lên	拾
Đầu vào	输入法
người đàn ông tốt nhất	傧
thành lập	確立
lên và xuống	上下
ký tên	跡象
xe tăng	坦克
Thành viên Wairo	员外郎
Đài truyền hình	電視台
trục	枢
Công nghệ cao	高新技术
Châu Âu	歐洲
Chạm tới	達至
Yan Guo	燕国
Xương sống	脊椎
Bộ phận quản lý	管理系
Anaconda	蚺
Người Mỹ	美籍
gió	繚
chất lỏng	液體
Zili	子裡
Ji Chu	紀初
Mạnh	雄厚
Quảng trường Thiên An Môn	天安门
Sống sót	存留
mưa liên tục	澬
Istanbul	伊斯坦堡
Tổ tiên	先人
Để so sánh	為較
Cá mèo	綱鯰
Vệ tinh nhân tạo	人造衛星
Thành phố phượng hoàng	鳳凰城
quạt	球迷
Giá trị	重視
Âm	覌
con bò cạp	螜
Âm	諴
mùa xuân	春季
phản ứng	反应
tình hình	局勢
Xe buýt chung	巴士總
Tương đương	等效
bản tình ca	情歌
Bay	飛航
tiếng vang	呼应
chỉ tại	僅在
Thương gia Trung Quốc	招商局
Triển khai thực hiện	實作
uống	歃
Que	骙
Hai chiều	二维
Trì trệ	停滞
Tái bút	跋
Nhân tạo	人工
túi	口袋
dấu	嘜
thân hình	身體
phân đoạn	分割
Công sự	工事
Dai	埭
Yêu cầu bồi thường	債權
Khu vực thành phố	市辖区
trừng phạt	诛
Hệ thống vé	票制
Xinhong	新鴻
Gọi chung	总称
tha lỗi	谅
thắng lợi	赢
Mã quốc gia	國號
Dừng lại	止步
Trong	個在
năm học	學年
Sảnh phụ	配殿
trói buộc	紃
Doyle	道爾
đi xe đạp	周期
Chim bồ câu	鸠
đến	过来
Hội nhập	一体化
xù xì	髟
kết cấu	质地
Om	嵔
Hoa anh đào	樱花
Zhongqing	中情
Lin	楏
rượu	葡萄酒
gửi	派
Pu Yi	溥仪
Ardennes	阿登省
Phòng thương mại	商會
Shao	譪
cái rổ	籃
trường học	学派
Las Vegas	拉斯維加斯
thảm họa	災難
Từ	自于
xoắn ốc	螺旋
Lập trường	表态
Lịch sự	禮於
che	覆
gì	什么
Đại hội	总会
Xi	浱
Tăng lên	崛
bài hát nhịp	唪
phần thưởng	收获
Li	閪
Trong khoảng	的約
Đỏ thẫm	絳
buổi hòa nhạc	音樂會
Tần	駸
nhiều lần	多次
đối lập với	暌
Acyl	酰基
cây bạc hà	薄荷
Kyrgyzstan	吉尔吉斯
ký tên	签
Có nghĩa	表示
Tiền ký quỹ	滸傳
vây quanh	环绕
hầu tước	侯爵
Hỗ trợ lẫn nhau	互助
Lí trí	心智
quyết định	决策
Sierra	塞拉
Thống đốc	巡撫
cái cổ	颈部
Mảnh	該片
Trinh Nữ	維珍
Mác	馬克思
đau	伤
lũ lụt	水災
Xiang Gong	襄公
Epiphysis	檺
Có	有所
văn phòng	辦事處
người triệu tập	召集人
Hậu cung	后宫
Sự phẫn nộ	忭
Thường Châu	長洲
Và để	而於
bất cứ lúc nào	隨時
Gru	格鲁
Quận	各區
Nhìn nhận	認定
Quán quân	状元
Thời gian	時的
hai ngàn	两千
Phí thành viên	會費
spa	温泉
Giao tiếp	相通
Không	並無
Thời Tây Hán	西漢
Kho báu nhà	家宝
Đầm lầy	沼
vật chất	物質
đồng	銅器
Bali	八里
chiếm lấy	生擒
Ling	巎
Quạt	蕃
Quân đội Liên hợp quốc	联合国军
Tây An	冼
Trong nhà tù	狱中
thương	铩
Thở dài	睸
Mồ hôi nhễ nhại	大汗
bán kính	半徑
tắt	关
xuất hiện	模樣
rubidium	銣
con rết	蜈
Roan	獌
Li	藶
Tỉnh Gunma	群馬縣
Pennsylvania	賓夕法
độ ẩm	湿度
Và xã hội	與社會
của tôi	礦
Tiếng Quảng Đông	粤语
Luo	駱
nghệ thuật	艺
Km	公里處
Điện cơ thể	體電
Corso	科索
Người Đài Loan	台商
càu nhàu	嘰
Chấp nhận	受理
Hội đồng Nhà nước	国务院
hộ tống	羑
Phiên dịch	譯
rất	挺
Không đủ	不足以
luôn luôn	总是
đạn	槍彈
học bổng	獎學金
Indre-et-Loire	安德尔卢瓦尔省
sức sống	活力
sự cô lập	隔離
Nếu không thì	除此
xa hoa	侈
Thay đổi	不等
Wan	澓
con nhện	蜘
Đổi lại	中還
câu hỏi	题
ủng hộ	拥护
Tỉnh đài loan	台灣省
Nói	地說
Anime	動漫
Sulaiman	苏莱曼
Sách	成书
Kinh doanh	商务
Galileo	伽利略
Thành phố Tô Châu	苏州市
Định lượng	量化
Yi	亅
Haining	海宁
Vấn Xuyên	汶川
Ling	囇
Làm suy yếu	弱化
Trung Quốc	支那
danh tiếng	名气
cây	柅
Thành lập	創會
Hopkins	霍普金斯
tuyệt vọng	悵
Ling	醿
Nhà thiết kế	设计师
Như Lai	如來
bệnh tim	心脏病
Ngữ nghĩa	语义
Mỗi chỗ ngồi	每座
chân đèn	檠
Hàng tháng	月刊
Tiêu	度过
Mọi người	各位
Bộ giao thông vận tải	交通部
Văn phòng	事务所
Yu	庪
liên quan	眷
Hai cực	二極
tàn lụi	秕
Về mặt thể chất	体上
Danh sách	名單
trại	阵营
tiếng Đức	德國人
Răng cưa	锯齿
Kết hợp với	會同
hối lộ	賄選
Pháo kích	砲擊
Jingguang	京广
Đặt theo tên	名於
lưng gù	僂
Vừa rồi	方才
Ngày thứ ba	其三
Thép	钢
Lời bài hát	詞曲
Khu vực Đại Tây Dương	大西洋區
Học	就读
quyền và lợi ích	权益
Treo	縊
Hei	鹖
dán	膏
mười sáu	十六
Tăng quân	起兵
Đảng bộ	党委
Hu	腧
Viện trợ của Mỹ	美援
Vài lần	數次
Lebanon	黎巴嫩
Câu trả lời	各答
Tên giai đoạn	艺名
rút ngắn	縮短
Được phục vụ như	擔任過
Thành phố tiểu bang	州城
Tòa án	裁判所
mứt	蓣
