Thành phố	市町村
Bún	麕
Một bên	一侧
Chuyến bay thử nghiệm	试飞
Cố gắng lên	尽量
đào	挖
Joseph	约瑟夫
Tứ xuyên	四川
chế độ ăn	飲食
móc câu	钩
trường học	校
nổi danh	有名
Saibai	塞拜
Lưng ngựa	驎
Vicchi	维奇
Chín mươi	九十年代
đáy	底部
Núi Wutai	五台山
Sau chiến tranh	戰爭後
Sắc lệnh	詔
Thắng lợi	崬
kết thúc	完結
Giám đốc	理人
cơ chế	机制
pha trộn	糁
con chuồn chuồn	蜓
bàn luận	商討
mối mọt	白蟻
Núi đá	山岩
Giám sát	督
sự suy luận	推论
hư mất	淪
Lắc	莎士
Trận đấu	際賽
Phương thức nhập cảnh	入法
Thay đổi đồ thị	变化图
Axolotl	螈
Văn học dân gian	民俗
Lá mầm	子叶
Cuộc điều tra	侦查
nhãn	標籤
dày	垕
Số ba	三條
chỉ	甫
Yêu cầu	自称
trang mạng	网站
vừa lòng	衎
áo lót	胸罩
New England	新英格蘭
Khoa Văn học	文系
Cũng thế	也會
kênh	航道
Tình dục hóa	性化
qua lại	來回
xí nghiệp	企業
Đầy tham vọng	心勃勃
vitamin	維他命
Jian	鑒
Mạnh mẽ hơn	較強
Khai báo	宣示
sản xuất	出产
niêm phong	缄
phát ban	疹
Cân bằng	扳平
chậm	緩慢
Hiệp sỹ	封爵
Họ Caryophyllaceae	石竹科
Abo	阿博
Tong	伉
Ý nghĩa	内涵
con tem	戳
Ngủ	睡眠
bao gồm	包括
Mùa thường xuyên	常规赛
Bình Nhưỡng	平壤
Rối	逎
Phương tiện truyền thông	传媒
Sức ép	施壓
chinh no	本身
tình hình	形勢
sờ nắn	悸
Zhu	潴
mua chuộc	赂
Phần này	該節
khoe khoang	詡
Tiểu bang	邦国
Tuyến quận	區專線
chim cốc	鸕
Tìm thấy một trường học	創校
Xưởng đóng tàu	造船厂
Ur	烏爾
ẩn	隐
phanh	闸
Bất lực	無奈
Tát	跐
rực rỡ	燡
Đô đốc	上將
Căn cứ	基座
thợ mộc	木匠
hàng rào	笆
Ngày mai	明天
Dài với	長與
Zhang	仉
Cornell	康奈尔
Lặp lại	迭代
khớp nối	耦合
Noru	諾魯
Nhiều mưa	多雨
Đường biển	海路
Tàu	舰
Nate	内特
Vắt kiệt	摋
Chúa tể	勳爵
Trận chiến	会战
Giảm đáng kể	大減
Đính kèm	附設
nhập cảnh	条目
khá	頗
Trung học phổ thông	高一
Alp	阿尔卑
bàn là	鐵
Chun	圳
quay lại	回来
Vũ Hán	武汉市
tôi yêu	我愛
Người qua đường	路人
Chào	哎
Akane	茜
Bộ	置
Dmitry	德米特里
cái ghế	椅
Âm	釴
Đảo chính	本島
Đổi	皈依
Luzon	呂宋
Hoàng đế nhà Hán	汉武帝
Don	丼
giả mạo	流氓
trị vì	在位
Glycoside	甙
màu vàng	黃
Chính quyền quận	縣政府
Phiên bản mới	新编
săn bắt	追封
Nimes	尼姆
Chào	樋
xinh đẹp	优美
Bảo vệ	警卫
Cũng được biết đến như là	亦稱
Bằng ngôn ngữ	語中
bộ sưu tập	汇集
Đại Luân Đôn	大倫敦
luồng không khí	氣流
Wisconsin	威斯康辛
Mục tiêu	入球
Jinpu	津浦
Lisan	利桑
Ngọc bích	稑
Tổ chức	寄主
scandium	鈧
Artemisia	蒿属
trường trung học cơ sở	初中
bát	椀
Giàu có	里希
Người ta nói rằng	据说
Brahma	婆罗
bệnh lao	痨
thành phố	城池
Nam tới	南至
pháp luật	法则
chặt	斲
cây tre	箂
Cập bến	停靠
Chân thành	诚
Nhát	腼
Mellon	麥隆
Bian	洤
Lou	娄
Chất thải	廢
mũ sắt của lính	胄
Tòa nhà chính	主楼
lấy trộm	竊
Jian	鑑
Chi	個屬
Tham quan	來訪
Bộ lạc	支派
bờ biển	沙灘
hạn hán	旱
N: Xứng đáng	功績
Christopher	克里斯托弗
Xiaomi	小米
Gasgar	加斯加
Quyết toán	定居点
tàu chiến	军舰
Âm	颎
nhóm	组
Đền thờ Khổng Tử	孔庙
Ston	士頓
Điều khiển	對照
Submode	子模
Môn học	主旨
Dingdu	定都
ma sát	摩擦力
Ông già	老人
Hiệp hội	協
Chứa đựng	所載
Shi	浉
Quay	旋
Micron	微米
dơ bẩn	骯
Xấu hổ	尷
Tiền giấy	纸币
Pyridine	嘧
Nghiệp	噶瑪
Trang sức	珠寶
thông thường	平常
Khinh bỉ	謔
Cá bơn	鲆
Bulbul	鎹
Twips	缇
Xu	美分
Đạt được	已達
tiếng Nga	俄語
cuộc nổi dậy	起義
Triều đại Qin	秦代
Mặc xuống	下穿
Bóng đá nữ	女足
Tro choi	該賽
Điểm nổi bật	花絮
bỏ trốn	遁
Đột nhiên	骤
Yu	魋
Chúng tôi	阿雷
Shao	曺
lỗi	纰
duy trì	維持
Mặc dù	縱使
học thuyết	教义
tời gió	轳
Đau khổ	受到
tổ tiên	祖先
Được lưu	得救
nhà gỗ	平房
Tệp mạnh	强档
khó khăn	困難
Cháu trai	姪
Hải quân	水師
Sao chép	山寨
Kỳ nghỉ	休假
Xuantong	宣统
Với	附有
Nga	俄國
Nhà sư	修士
Toàn bộ cuốn sách	全書
máy lạnh	空調
súng cầm tay	槍械
Binh thương	休闲
Thầy tu	神父
Solomon	所罗门
Bali	巴利
Sansong	桑松
Yu	萫
góc	陬
Bão nhiệt đới	為熱帶風暴
Đường Zhongshan	中山路
Cảng cá	漁港
Tấm	鈑
Tây tạng	藏族
Trung đội trưởng	排长
nghĩa vụ quân sự	兵役
Đề cập đến mọi người	指人
cái thước	统治者
Tàu ngầm hạt nhân	核潜艇
Hoạt động	活动
Nói dối	臥
Trước nhà Nguyên	元前
yêu cầu	宣稱
Xizhimen	西直门
Lực lượng vũ trang	武装力量
viền	轮廓
Bayan	巴彦
hố	穴
Nông cạn	淺
Shikoku	四國
mở và làm sạch	刲
Xuân	犮
Zang	臮
Tổ chức	憲法
Xe buýt	公交
biển	海
Qiao	谯
Kashi	樫
Kubi	忽必
hệ thống	繋
Bắn cao	高射
Quanh co	蜿蜒
áo choàng ngoài	褂
Bucky	巴基
hẹp	隘
Sợ hãi	害怕
Kamchatka	堪察加
cơ chế	機制
người Trung Quốc	华语
Ngày làm việc	工作日
bánh ngọt	餑
Thừa kế	承
Nội dung	内容
cám	麸
Hào hiệp	俠
Và suy nghĩ	並認為
Titan	土卫
Rong	鋺
cảm thấy	覺得
in lại	再版
bán đấu giá	拍賣
Tai'an	泰安
Lun	侖
Tưởng	蔣
giả định	假定
Cher	切尔
nhiếp ảnh	攝影
nghiên cứu	考證
thối rữa	爛
Sui	蔍
Cả hai mặt	兩邊
Ngọc nữ	玉女
đột ngột	忽
Điều này	這支
đồ gốm	缶
giẫm đạp	跫
Chương trình	程式
Wu Zong	武宗
tấn công	抨擊
Chúng ta	乌斯
Vệ Đà	吠陀
hơn	更
Thành viên nhóm	組員
nhà tù	牢
Xử lý	應付
Songhu	淞沪
Tan	栌
Codney	蠒
tuyên bố	陳述
chuồng lợn	圊
Heshuo	和硕
Sykes	塞克斯
Halle	哈雷
Perot	佩罗
Kwai Chung	葵涌
Đa dạng	各項
bẩn thỉu	齷
Chủ tịch	委員長
tim	内心
Kirk	柯克
Với cái này	以此
động vật có vú	哺乳动物
Sử dụng	动用
Starbucks	星巴克
ổ đĩa cứng	硬盘
tiểu	小便
Sini	锡尼
Tổng biên tập	主編
Được nhúng	嵌
bán	出賣
Mục tiêu	進球
vượt qua	傳
Cốc	盞
Mạnh	坚
người tị nạn	难民
Mạnh	強力
Giải tích	演算
Shao	岉
thang máy	擡
Thích Ca	釋迦
bệnh sốt rét	疟疾
cua	蜅
Lang thang	流落
Lini	利尼
đề nghị	提案
Băng sơn	貝格
Tiao	楲
Hồng quân	紅軍
Què	跬
chụp	射擊
kỹ năng	技能
Phục vụ như	担任
Quay	旋轉
Biao	彪
Mùa	賽季
hợp thời	及时
viết	寫
cà tím	茄
Nồi hơi	锅炉
áp suất cao	高压
Độ ẩm	水份
Các mặt hàng	货
thay đổi	更改
Thế hệ thứ hai	二代
Lịch sử	史學
Chính phủ lưu vong	流亡政府
cây rìu	钺
dày	稠
Đuôi	尾翼
Khoa học Phổ Thông	科普
Chu	褚
Xiao	暭
Viết tắt	簡稱
nói cách khác	换句话说
Hoàn thành	达到
Công trình dân dụng	土木
Heo con	豵
Hawaii	夏威夷州
Kẻ ngốc	諝
Tang	軆
Xlô-va-ki-a	斯洛伐克
Văn phòng quản lý	管理处
Liên minh	结盟
Keshan	克山
Cao răng	韃靼
mục tiêu trong bắn cung	堋
Tasmania	塔省
biến đổi	变型
Virginia	弗吉尼亚州
Tin tặc	黑客
nhảy qua	隃
Cánh đồng	埸
So sánh số	數較
Hu	聝
Qu	瞿
phương hướng	指向
Đương nhiệm	现任
Hirayama	平山
Les	勒斯
Chuột	小鼠
Đá vôi	石灰岩
Thuyết giáo	宣揚
ngụy trang	偽裝
Kera	螻
tiến lên	前进
Chi	螭
Tenjin	天神
Đang chơi	在劇
Nhà Thống đốc	家督
phổ cập	普世
Zuo	皥
bướm đêm	蛾
sàn nhà	樓
Tỉnh vân nam	云南省
Thong thả	蓄意
Điều khiển	防治
Ecuador	厄瓜
bạch huyết	淋巴
Nhà máy dược phẩm	藥廠
Báo chí	報業
Được	鑒於
Shizuoka	靜岡
Toàn quyền	全权
Chuyến thăm	到访
quyền lực	力量
Ling	泠
ngôi đền	寺廟
bản nháp	稿
Huyện	區的
Dạy	任教
Takeda	武田
Nước thải	污水
tước đoạt	剥夺
Reese	里斯
Có sẵn	可獲
sân khấu	舞台
Chuo	绰
Vấn đề chính trị	政事
James	詹姆士
Người đàn ông giàu có	富翁
Áo choàng	幔
huy động	动员
Ban cho	授予
Ý nghĩa	意涵
Nổi bật	脫穎
Yi	羾
Xuyên tâm	橈
Về công việc	在职
Buồn phiền	匁
Acenaphthene	苊
Cộng sự	伙
Liên minh	結盟
Được biết như	号称
nhà thờ Công giáo	天主教會
uranium	鈾
Nam việt nam	南越国
Hukou	户口
Áo	奧地利
chuyến thăm	看望
Alex	亚历
thiết kế	設計
Bầu cử dài	長選
vất vả	矻
khả năng	可能性
giáo viên	教員
Khu công nghiệp	工业区
sự sụp đổ	倒塌
Shi	轐
cái bụng	胃
Yu Da	於大
nông trại	畈
Nai	扙
đá ngầm	礁石
Bác sĩ	醫師
gia tài	遗产
khó khăn	靭
Quân đoàn	總隊
Puerto Rico	波多黎
Biển số xe	車牌
Người ta nói rằng	聽說
Tỉnh	行省
Chu	餻
Kế hoạch	籌劃
con hổ	老虎
học phí	費
bạch cầu hạt	粒细胞
Cặp đôi	儕
câu trả lời	解答
Điều	事物
Val	瓦爾
Đuôi ngắn	短尾
Lanz	兰茨
Tais	泰斯
Yu	宇
Sờ vào	感人
Thị trấn	该镇
vũ khí	兵器
tên nick	別稱
Kiel	基尔
phần thưởng	奖励
Haidian	海淀
Pusen	普森
cỏ nhuộm màu đỏ	韎
Đại tá	大校
nhẹ nhàng	略
sự phỉ báng	诽谤
Nhà bán lẻ	零售商
Durres	都拉斯
Neptunium	鎕
giám đốc	經理
Sự phẫn nộ	嗔
Tỉnh	外省
Sự suy giảm	除役
lý do	緣故
Cao	骜
Bai Xue	白雪
Dort	多特
Daphnia	水蚤
Henney	軒尼
Dresden	德累斯顿
Ranh giới	界线
Đến	迀
Pyrenees	比利牛斯大区
Alps	阿尔卑斯山
Kali	钾
Cấp dưới	属下
Gợi lại	憶
Theo	西奥
Cộng hòa	共和国
Victoria	维多利亚
chính tả	拼法
Yên tĩnh	悄
Người sáng lập	创始人
Trường tư thục	私塾
kiếm	赚
Lừa dối	棅
Khá	頗為
Kinh độ đông	东经
Đến	逬
Hạ cánh thất bại	迫降
Hết năm	年末
Ya	泬
hình trái xoan	橢
Kami	卡米
Và mới	與新
Thể loại	類學
Đánh chặn	拦截
Yong	颙
điên hơn	藘
Nhìn chằm chằm	罝
Luo	宀
Trang bị thêm	加装
Đàm phán	商議
nàng tiên	仙女
Yuyuan	愉園
Máy ảnh	照相機
Tuyệt vời	妙
Buzz	嘹
Pori	波里
Mali	马里
đầu tư	投资
Chuyển tới	遷到
bất tận	无穷
cỏ dại	荑
Xấu hổ	褷
hói	禿
Tao và	道與
Tamilna	泰米尔纳
diệc	鸶
văn chương	文献
bạn bè	朋友
Tiết tấu	毆
Băng nhóm	滆
hợp đồng	承包
Vùng biển	海域
Cơ thể và	體與
Sassafras	檫
Bằng lời	言中
Phong cách	樣式
Dài hơn	長於
Chung	全科
Năm sau	隔年
Giải mã	解密
cái cằm	颏
liếc mắt	瞟
cụm	星团
Tổ chức	主機
Chức vụ	職務
Ibis	鹮
Mở	开通
Xung quanh	遶
Chao	恙
Làm sao	怎
Áo khoác	襖
Giữa	間裡
săn bắn	狩猎
Đã loại bỏChia tay	淘汰分手
Nhận vào	入讀
Pokémon	寶可夢
Cha đẻ	國父
Căn hộ, chung cư	公寓
tự hào	傲
Cổ áo	铤
quần áo tã cho trẻ con	襁
Chi Li	赤鱲
đường phố	街
băng	碰
Phố núi	山城
hydro	氢
Chim	鹸
Xử lý	办理
Castilla la mancha	卡斯蒂利亚拉曼恰
sốt	發燒
Cổ phần	利害
báo	豹
Xã hội đen	黑帮
marmot	鼫
Đột biến	變異
Đặt tỉnh	書省
Toàn cầu	全球性
lấy	拿
Hinata	阳平
Kinh tế kế hoạch	计划经济
thiên đường	天堂
Yonghe	永和
lề đường	路边
Tỷ lệ việc làm	业率
cắt cạnh	前沿
Đã bắt đầu	起家
đi vào	进入
Uống	飲品
Bay lên	飆
đáng ngờ	可疑
Carnegie	卡内基
Nata	娜塔
lan can	栏杆
Hoạt động	營運
người sử dụng	用户
Văn bia	墓志
Quán tính	動量
chạm	摸
Sau khi nghỉ hưu	退役後
Đã vượt qua	傳到
ghét	討厭
Đường chính	正街
ngôi đền	祠
Giữa kỳ	期中
Khiêu dâm	情色
Tấn	埙
tình nhân	情婦
Pavilion	展馆
nằm	坐落
Đánh giá phim	影評
Áo choàng ngoài	褁
đá lửa	砮
Con bọ có mùi khó chịu	蝽
người Hungary	匈牙利语
Lưu trữ	遏制
Perseus	英仙座
Yan	晏
tóc	头发
Luo	罗
Háu ăn	飣
Cảnh sát	警員
Qua đó	過該
hủy hoại	隳
Chiếc phà	费利
Ngập	淹
Vì ý chí	為將
hoại thư	疽
St. Louis	圣路易斯
Ở giữa	於中
Mác	马克思
con kiến	蟻
Ze	泽
Sớm	濩
Đấu thầu	競標
Daifuku	大福
giao phối	交配
khu vực	地区
Ming	鳴
Một số	若干
phi chính phủ	非政府
mối hàn	焊
Quy định	规
Mã nguồn	源代码
chim ác là	鹊
văn xuôi	散文
molypden	钼
Tang	莃
di chuyển	挪
vu khống	谤
Người Kurd	库尔德
Bàn giao	交予
Hạn chế	局限
Shu	沭
con châu chấu	蝈
Cư dân	驻
tiêu chuẩn hóa	标准化
Ngày càng	日趋
cây thương	戣
Chia	多尔
Yali	耶利
Francis	方济各
Khó chịu	刺激性
bạch ngọc đeo trên thắt lưng	珶
Cái đó	彼
Ôm	肕
thành phố Manhattan	曼哈頓
đơn giản	简易
chỉ có	才
Lấy được	推導
Tất	襪隊
hiếm hoi	稀少
mạng lưới	浄
Trên dân số	论人口
dao găm	匕首
Hui	暉
nhiệt độ	温度
Viết	写入
lái xe	驅
góc phố	街口
Hậu duệ	後人
Xi	閗
Golden State	金州
H	犩
Có nguồn gốc từ	发源于
bản quyền	版权
chuyến du lịch	遊覽
sự quyết tâm	決心
Đánh thức	激起
Yun	蕓
Phổ biến	當紅
Chúc mừng	贺
Ghi lại	錄製
Cầu	大桥
Cô gái trẻ	少女
Guanghua	光华
Penang	槟
Bồn rửa	击沉
khoảng cách	间距
Yi	幐
Chức vô địch	锦赛
bởi	靠
Dòng số	號線
quân đội của chúng ta	美軍
Biểu tượng	象徵
Bệnh viện	该院
Xây dựng	构建
cái bình hoa	甒
Nói chung đề cập đến	一般指
sinh tại	出生于
Sơn	油漆
hữu nghị	友誼
hội trường tổ tiên	祧
cá nhân	親自
Lisa	麗莎
kỹ lưỡng	彻底
Cảnh sát trưởng	郡王
quy mô	秤
Thùng rác	彬
Tát	玴
Quận Ke	克縣
Porphyr	卟
gầy	瘦
Ming	銘
tháng	月間
Chấp hành	行署
Gaza	加沙
Sinh ra	生而
cái tát	摑
Hung ác	冷酷
Tách rời	另立
Tsim Sha	尖沙
có ảnh hưởng	伾
chắc chắn rồi	肯定
Đánh nhau	交戰
Cối xay	磨坊
Hạt Xing	興縣
khay giỏ phẳng	笸
Changshu	常熟
hình trái xoan	橢圓
Văn phòng chính thức	官署
Làm cho đồng bộ	同步
Họ Rubiaceae	茜草科
thành phố Kowloon	九龍城
vượt qua	序曲
phe phái	派别
Shenlong	神龍
Thùng rác	缤
Đại học Shan Dong	山东大学
hydro	氢气
Rồng khổng lồ	巨龍
Đi	东乡
Axit sulfonic	磺酸
nhẫn tâm	趼
Mông Cổ	蒙古
Guojun	國軍
Đại học Quốc gia Đài Loan	台大
Nhật Bản tuyệt vời	大日本
cao quý	貴族
Thưởng thức	享用
người kế vị	继任者
Sư đoàn bọc thép	裝甲師
Sự công nhận	表彰
Quân đội mới	新軍
Bay	湾
Thiên kiến	偏見
Nhận biết	结识
Thất bại để	负于
Người giải trí	藝員
Grate	毦
Như	做為
Yasha	夜叉
Triều Châu	潮州
đồng	青铜
Không giúp được	不禁
thỏa hiệp	妥協
ngoại ô	市郊
Sega	世嘉
Trung bình	介質
Thời gian	時稱
bóng bàn	乒乓
niết bàn	湼
Chết của	死於
Nahe	納河
Pleiades	昴
Chan	鉶
Tử vong	病故
thật	的確
Chơi	耍
Bắc	北面
khuyên nhủ	谏
Chính quyền trung ương	中央政府
Gro	格罗
Tai nạn xe hơi	車禍
Hỗ trợ	互为
Máng	低谷
Anh quốc	烏克
Thói quen	习性
hệ thần kinh	神经系统
mật khẩu	密码
cổ đông	股東
ghi âm	記錄
đỉnh núi	嵝
Trụ trì	方丈
tài chính	金融
Đầu phía bắc	北端
Công	巩
cho	為
Buồn cười	搞笑
Jianning	建宁
Trạm xe bus	巴士總站
Chỉ có thể	只能
Ji Lu	冀鲁
Tấn công	出击
Giữa	介於
áo choàng	海角
Không ổn định	不穩
ách	轭
công ty mẹ	母公司
bãi bỏ	廢除
Võ thuật	武打
Rộng	寛
Nhà điều hành	运营商
song song, tương đông	骈
Yar	亚尔
Và bởi vì	並因
nó được dùng để	是為
quá trình	进程
Đào tẩu	倒戈
Đối với	為應
dẫn đầu	主导
Nhập khẩu	导入
nhà ăn	食堂
Thuyết giáo	宣扬
một tám	一八
một mặt	一方面
Tiếng lóng	俚
Shou	守
Nội dung	争夺
Tấn công	攻取
Học	学业
ngập nước	湮
lãnh thổ	疆域
Liên kết	缀
Mẫu giáo	幼儿园
tài khoản	帐
Hinder	妨礙
cái đầu	頭部
Đức phật	佛
Chiếm lấy	撷
Háu ăn	鋦
TGM	总主教
Miệng núi lửa	陨石坑
鳒	鰜
Người nước ngoài	洋人
Du lịch	游客
Tỉnh Kyoto	京都府
ghi chép lại	纪事
Mét dài	米長
y học cổ truyền Trung Quốc	中药
nghệ thuật tự do	文科
Bán vé	售票
ruột	腸
Trường học	學堂
Giếng sâu	深井
Ami	阿米
Đầu tiên	乍
hệ thống	制
Bảo vệ	衛隊
Đáp lại	批复
Rui Zong	睿宗
nhà giam	入狱
đình công	罷工
Pingtung	屏東
bán cầu	半球
Canoization	册封
Kedah	吉打
chuyến bay	飞行
Hút thuốc	四平
yết hầu	嚥
hủy hoại	譭
Castanopsis	栲
Quan thoại	官话
Reel	輘
Toàn cầu	全局
Từng bước một	逐步
bia mộ	墓碑
nồi	锅
Lei	磊
ria mép	偲
sẽ sử dụng	会用
dưới nước	水下
giữa	之間的
Mắt cá chân	安康
Tiếng Turkic	突厥
Poseidon	海神
hạt	粒子
Quảng đông	粤
Akka	阿卡
than cốc	可樂
Tấn	瑮
nổ	爆炸
Không bao giờ	從來
Ủy ban tỉnh	地委
Núi	山岳
nêm đá	磹
chậm rãi	慢慢
đá mài	砥
Cái xô	巴克
Bo	亳
sự trừng phạt	惩罚
Điện lực	電
đố kỵ	羡
Cục Nội vụ	民政局
bộ trưởng, mục sư	部将
Hanshu	漢書
hoang dã	野
Hồ đông	东湖
Đã vào	所進
hùng biện	佞
Nhìn chằm chằm	瞠
Zhu	昚
lớp học	課
kẻ thù	敵
định tuyến	路由
phát triển	进展
Với Nhật Bản	與日本
chuông	貝爾
Dài	茖
Trang Chủ	家後
Posterity	后主
Cây bách	檜
Anwar	安华
vĩ độ bắc	北纬
Kinh phí	經費
Họ Gramineae	禾本科
Sẽ gửi	將發
chậm lại	減速
Tự nhiên	本機
chưa quyết định	蹰
chòm sao Đại Hùng	大熊座
Đảo và	島與
thuyết phục	說服
lên án	谴责
Chính quyền dân sự	民政府
ngoại ngữ	外語
Đột phá	突圍
Cicero	西塞罗
Châu âu	歐語
tự động	自动
Hố	孴
đàn ông và đàn bà	男女
Stephen	斯蒂芬
Thịt	葷
nhỏ bé	謏
Nối	剪接
Trương Gia Khẩu	张家口
cấp	軍階
Thích hợp	合適
Vắt kiệt	圑
Với cơn gió	飄
Bán	販售
nang	蓇
nắm lấy	捕
càng sớm càng tốt	尽快
Tất cả mọi người	众人
Nhà Đường	唐朝
Sờ nắn	扪
Pu	斦
Đóng	閫
Hậu duệ	后裔
dòng nhanh	快線
sự nối tiếp	序
đặc biệt	格外
Neon	霓
bộ xử lý	处理器
Gan	玕
Giám đốc	總監
Takeda Shingen	武田信玄
Để cái này	讓這
Feld	费尔德
Bầu	选入
Tuyệt vời	精彩
phụ gia	添加剂
quan hệ	亲戚
Eric	埃里克
con số	數目
bảng	板
đảng cộng sản	共产党
Thực hiện	做成
Xyanua	氰
Cuộc thi giáo viên	師賽
lãnh thổ	領地
Tottenham	熱刺
Hành khách và vận chuyển hàng hóa	客货运
Adolf	阿道夫
Rải rác	散落
Châu phi	非洲
Nếp gấp	褶
Dato	拿督
Nói	話說
TV	电视
nhà hàng	餐館
Giam	拘禁
Trưng bày	施展
Nghiêm nghị	艴
Nagasaki	長崎
gấu trúc	大熊猫
Nương náu	避难
B	乙
Phiến quân	義軍
Khép kín	自成
Bốn năm	四年
Ngày 20	二十日
mùa xuân	泉水
Được chọn	獲選
giỏ để bẫy cá	笱
Sóng từ	磁波
thay đổi	变迁
phổ cập	普及
Tốc độ là	速為
tưởng tượng	虚构
Giun đũa	蛔
Illinois	伊利诺伊
thứ hai	國中
Một chương trình	独秀
Và với	而與
Các triều đại Tùy và Đường	隋唐
giảm	縮減
cô	思念
bóng râm	荫
quyền tự do ngôn luận	言論自由
Phí chuyển nhượng	轉會費
Phượng Hoàng	陯
Times	倍
Tương đối tổng quát	廣義相對
cơ khí	機械
Strasbourg	斯特拉斯堡
Sẽ đúng	將對
Ở đâu	之處
nơi cư trú	居所
Với	附帶
nặng	沉重
Kui	奎
giáo viên	老師
Wharton	華頓
Nguyên nhân	造成
Engels	恩格斯
khỏe	精美
Phong trào xã hội	社會運動
Sự vi phạm	违规
Sau việc làm	職後
Áo khoác	袄
Diễn dịch	詮釋
kỹ thuật	工程学
độc lập	独立
thua	損失
Đầu mùa	季初
Huanggang	黄冈
đó là ai	是誰
Lỗ rốn	臍
nách	肐
Tạm thời	暂行
Lăn qua	輾
Xiu	洫
Đảm nhận	接手
Đăng ký	存器
Đối với các tác phẩm kinh điển	為經
Giá trị	數值
Oklahoma	奧克拉荷
hẹp	仄
con kênh	运河
Cây	卉
kỹ năng	技艺
Erzhou	尔州
xấu	不良
Số và	號與
Carolina	卡罗来
Suy sụp	棔
căng ra	繃
Nhọt	痖
Trưởng	首长
Dạy	讲授
Loiret	卢瓦雷省
nguyền rủa	駡
tập đoàn	法團
động cơ	引擎
Quan thoại	普通話
tham	騖
Loài	種說
Quảng tây	广西
Dương	旸
Đóng góp vào	促成
Picardy	皮卡第
Phát thanh	放送
sinh nhật	诞辰
Cộng sự	夥
Tê liệt	瘓
Đất liền	內地
Nói cái này	說這
hái	镐
Đồng hồ đeo tay	观赏
Cửa hàng thức ăn ngon	德利
Trở về nhà	歸國
Trưởng phòng	头人
lung lay	蕩
máy gia tốc	加速器
trao đổi công bằng	公平貿易
Trong một khoảng thời gian dài	长期以来
hành động như	充當
mối hàn	銲
Pharaoh	法老
cơ bắp	肌肉
Cứu trợ	浮雕
Sông Yalu	鸭绿江
Đến	饀
Cấp độ 2	二級
Quận tự trị	自治州
tiêu đề	稱謂
Sâu	蜚
nơi cư trú	住處
Jones	瓊斯
Tantali	鉭
Kodo	科多
Ủng hộ	託
Vì thế	索
Trong ngày	天內
Vật	对象
vật trang trí	鋃
nếm thử	啗
Tình hình	處境
Tên gọi chung	俗稱
Vội vàng	濵
Trung Hoa Dân Quốc	民國
Nagqu	那曲
ngân hà	銀河
Nibble	嗑
Luật hữu cơ	组织法
Nhà điều hành	算符
Nautilus	舡
Mỗi	每种
nguyên nhân	起因
Nhà truyền giáo	傳教
ngưỡng cửa	閾
Xiangshan	象山
Không gian	太空
Tan	昙
phát phần thưởng	送
phản đối	對手
đấu trường	競技場
Thắng hay thua	勝負
Cameroon	喀麥隆
Cao quý	贵人
Sự tiêu thụ năng lượng	功耗
Hui	薈
Hai cái này	這兩種
Phát hiện	偵測
tàn tích	废墟
Cởi	脫
Xuân	瑅
chim	胗
Từ phía đông	從東
Lụa	黬
quyền và lợi ích	權益
Người Bồ Đào Nha	葡萄牙语
Dahe	大河
Dài	漫长
làm	挵
Sự phát triển	演進
Chân thành	誠
Lushun	旅顺
phức tạp	复合
Li Cun	李存
Đa dạng	各种各样
tình nhân	情妇
Phần còn lại	殘留
Chuyển số	號班
hai trăm	二百
Huyện	區區
Diễn dịch	繹
Ả Rập	阿拉伯人
Đạo đức	惪
rau	蔬菜
ngái ngủ	困
Uống	飲料
đàn áp	压制
Yu	盺
Piłsudski	毕苏斯基
Tập thể dục	練習
Biến cố	入射
hóa thạch	化石
Người phụ nữ trẻ	媺
Cây hương bồ	鮰
hướng tới	朝
Phó Tổng Thống	副總
giao hàng	交付
Quận De	德县
Lẻ tẻ	零星
Ánh sáng	轻型
Ngày 28	二十八日
Không cần	無需
ngắt lời	打破
Lịch sử	史稱
Và có	且有
Vành	辋
quan tâm	關懷
Lựa chọn	選輯
Quân luật	戒严
Phúc lợi	福祉
Park Jung Hee	朴正熙
Nhón	龎
Cuộc cách mạng	革命
khiển trách	訶
nhạc jazz	爵士樂
Shao	鄡
Tan	郯
Âm	欀
Quá cảnh	中天
không người lái	无人
Cá tuyết	鱈
Than khóc	巗
Chụp	槍擊
Zhuzi	诸子
Kim Hoa	金华
Ngoại hối	外汇
Quyền sở hữu nhà đất	置業
Nantou	南投
ở đằng trước	向前
Đường phía đông	东路
Nhìn	来看
Độ nhớt	黏度
Yu	雗
Luo	潖
Das	达斯
Tàu	舰只
ốc sên	蝓
hùng hoàng	铼
Lan tràn	流传
Gây rắc rối	鬧
hàng quý	季度
phát sóng	转播
Anh bạn	絝
Trang bị lại	改裝
Đã đổi tên	改名
Kur	庫爾
con số	號
Stu	斯图
Caucasus	高加索
Tốt	唏
ném bom	轰炸
tưởng tượng	假想
Thời đại hưng thịnh	盛世
Đa dạng	多样性
-quán ba	巴
Tinh thần đoàn kết	声援
tỉ mỉ	細緻
con số	数目
khu vực trung tâm	中心区
Bay hơi	揮發
điều này	這項
Hướng ngoaị	傳出
Nhiều lần	迭
Bối cảnh	幕式
Zhuhai	珠海
Phụ thuộc	相依
Yan	阎
Hoài Nam	淮南
Giống nhau	同理
Bướm đêm	螆
Công chúa	殿下
Swastika	卐
đăng ký	订阅
Ke	轓
Chengdian	成殿
