Túp lều	庐
Faro	法罗
Bị cấm	紫禁
Wiener	维纳
Wuzhou	梧州
Quy định	条例
chuỗi	絃
nhà tài trợ	赞助
Quân sự và dân sự	军民
món nợ	債
Thường với	常與
Phong Đài	丰台
Hấp dẫn	吸引力
manh mối	线索
Virginia	弗吉尼亚
Có người lái	载人
Giết chết	击毙
Mang trở lại	帶回
Gerson	格森
Khai thác	剝削
Liu Jia	劉家
Ngày lễ	假期
tháng Ba	进军
lộ trình	路線
Thuộc về	同屬
Thuyết tương đối rộng	廣義相對論
Yan	彦
Quốc vương	君主
Phái hữu	右派
hòa thuận	相處
Thiếu tướng	少將
Sự tôn trọng	敬意
rộng lớn	寬廣
Phân phát	派發
Kinh tế và Thương mại	經貿
khi nào	何时
Sao phụ	子星
Matsue	松江
Ngưu	苅
Russell	羅素
Hu	坖
Legon	勒岡
Xi	郙
Zhaicun	寨村
xe buýt	公共汽車
Đồ khốn	庶子
liệu	不论
Lươngsân vận động	俸大球場
huyền thoại	传奇
sự phân cực	極化
Tây An	聹
buồng	內閣
Đi một	以個
tưa miệng	鸫
Trường học	建校
Chuyên môn	專長
Khu vực	界別
hơi thở	氣息
Đô la Đài Loan	台幣
mùi	氣味
sự tôn trọng	崇敬
Con thằn lằn	蜥
Nong	侬
Cove	科夫
Lun	崙
mạch lạc	相干
xây dựng	築
Kiềm chế	制约
Arashi	嵐
Ying	潁
phi cơ	飞机
Lý thuyết trường	場論
Đã đặt hàng	受命
độ sáng	亮度
Qi	锜
Cuối cùng	為時
Đội bóng đá	足球队
nhà thờ	教會
kỷ	世纪
Cống vật	进贡
Dân tộc	族裔
Xe máy	摩托
Khó khăn	难度
Wiscon	威斯康
Nissa	尼撒
Robinson	罗宾逊
Chơi	飾演
cào	耙
kết thúc	过度
Băng nhóm	幫派
Cân	称
Thái Bình Thiên quốc	太平天国
Xinhai	辛亥
Ánh sáng	光线
Tro	阿什
Bún	麎
Murong Chui	慕容垂
Nhận vào	入場
niềm tin	信仰
Chết	亾
lúa mì	麦
Xe buýt	大巴
Bốn mươi hai	四十二
Vợ lẽ	妃
Jing	紒
Thành phố	市政
Đất nước lớn	大国
Bố	帕
Tôn kính	勳銜
Đối với Nhật Bản	為日本
Alba	阿爾巴
Chỉ năm	年僅
Hai loại	兩類
Yutai	於臺
Thái độ	姿態
Tren mat nuoc	水上
với	和
Hsinchu	新竹
Yan Guo	燕國
锷	鍔
Bắn	出手
Hắc Long Giang	黑龍江
Erdo	尔多
Giá trị	价值观
Đường sắt Đài Loan	臺灣鐵路
Một trăm triệu đô la Mỹ	億美元
má	腮
Xác nhận	證實
Cuộc họp	该会
Động cơ diesel	柴油引擎
Tổng	總和
lịch sử	歷史
Đến	耮
Tần	験
Gạo nếp	醅
Sự đối xử	療
hình bán nguyệt	朏
than phiền	诼
Thành phố và Quận	城县
Che Gong	車公
diễn đàn	討論區
Điều này	這座
Thẻ mọi người	卡人
Như một loại	為一種
nhạc jazz	爵士乐
Labiatae	唇形科
Thủy lực	水力
xà phòng	肥皂
nhiệt đới	热带
đổ đầy	馅
biến cố	事件
Và phải	與對
Chỉnh sửa	修饰
nhọn	銳
Smash	枍
hẻm núi	峡谷
dấu	標記
Bạn cùng lớp	同學
Thời gian mặt	面時
ba lô	背包
Phác thảo	小品
Khai hoang	填海
chia tay	掊
su hào	苤
Xúc phạm	侮
Eigenvalues	特征值
đỏ	紅色
Aman	鼦
Đài loan	台灣
khô	眢
ngược lại	反之
Việc làm	就業
cầu thang	樓梯
Kè	垸
Bướng bỉnh	烍
Thứ hai	諓
Hợp đồng đất đai	地約
chiến thắng	優勝
Trục xuất	驅逐
tóc giả	假髮
Bộ trưởng nổi tiếng	名臣
Đúng	是沒
Vết trầy	攰
nội dung khiêu dâm	色情
Lần cuối cùng	上次
Cao nguyên	塬
Vị trí	部位
Ichiro	一郎
ngắn gọn	簡潔
mơ hồ	渺
Liên kết	邦德
Bữa tối	晚宴
Hóa đơn	比爾
Không gian sâu	深空
Dậm chân	跺
Chengjun	成軍
tàu	船隻
Alice	翹
Lịch sử	有史
Sự mở rộng	拓
tiết kiệm	拯救
Tiếp cận	逼近
Nhà cung cấp	廠商
cuối cùng	最终
nếp nhăn	皺
đội trưởng	艦長
Vera	维拉
các tập tin	檔
ấu trùng	蚴
ngã	失守
che	蓋
Toà nhà cổ xưa	古建筑
Liền kề	相鄰
Địa chỉ	地址
truyện cổ tích	童话
mùa gặt	收成
Tai	凼
Cục an ninh	安全局
sự miêu tả	描写
Lantian	藍田
Cúp thế giới	世界盃
bụng dưới	脥
tiếng Nga	俄
hiện nay	现今
Và chọn	並採
Yang Ming	陽明
Mãn tính	慢性
kết cấu	构型
Ji Luyu	冀鲁豫
Cởi	脱
Dân dụng	民用
Mạnh nhất	最強
thực thể	實體
Màu vàng	為黃
Đỏ thẫm	绛
nhóm	集團
cải cách	改革
chuyển khoản	转任
Đưa vào	戴上
tiền boa	尖
Quay lại	再來
bàn luận	商讨
củ sen	藕
Ye	赒
thu hút	吸引
tham dự	參加
Jiading	嘉定
Biển núi	山海
Sử dụng nhiều	大量使用
Văn phòng chi nhánh	支廳
Khám phá	揭
Sa thải	解僱
Trong văn phòng	任內
Hiệp sĩ	騎士團
Rêu	藓
Ứng cử viên	人選
Ngây thơ	稚
Vợ lẽ	妃嫔
Torr	乇
Thuộc về	分屬
Thành lập	创立
Đội và	隊及
Xông khói	咝
đưa đón	梭
mái hiên	檐
Chi	錅
đủ	夠
Viết như	寫成
Lượt xem	觀
Lạm dụng	虐待
Ba	灞
Sau	過後
Người Phoenicia	腓尼基
Lên đến	達數
Tàu	艦
Ottoman	奧斯曼
Yingkou	营口
Yan	嚟
Thế giới đầu tiên	天下第一
Hát	黚
Elson	爾森
Quần đảo	群島
mông	觝
đo lường	衡量
Chúa Trời	神
Zheng	崢
quan trọng	重要
giá đỡ đầu giường	桯
Zuo	祚
Thêm vào	增設
Làm tan biến	溶解
Nhịp	節奏
Xiang	湘
Concord	協和
đất sét khô	塥
Khí ga	加斯
Tàu đánh cá	漁船
Olympic	奥林匹克
Chiết giang	淛
tham số	參數
Lá giữa	中叶
Cây	植株
Đối với Áo	為奧
Bộ này	這套
thay thế	後補
băng qua	橫過
Dân dụng	民事
La mắng	诎
nhà khách	招待所
Li	浬
bố	爹
Sẽ làm	會的
Liên kết	領展
Chống lũ lụt	防洪
Trước	歷屆
buồn	怆
Nói	說文
Ying	鎣
vẫn	静止
Đáng kể	大幅
Kho chứa nước	蓄水量
tính hợp pháp	合法性
xúc phạm	贬
Lượn lờ	蠕
Tay đen	黑手
Quá khổ	超大
tương đối	相对
Xia	霞
đi bộ	走路
tiền đồn	前哨
Gaozu	高祖
Khối lập phương	方塊
nói nhảm	嘮
các môn thể thao	竞技
mưa rơi nặng hạt	雱
liên doanh	合资
Giả mạo	氓
Roi da	掄
nông thôn	乡村
Yuyao	余姚
bức tượng	雕像
năm này qua năm khác	逐年
Bảo vệ	親衛
Sorties	架次
Mờ dần	衰落
A	甲
锽	锽
Tập thể dục	练习
gừng	薑
nghẹt thở	噰
Có hạn	限量
Yang Guo	楊過
Ba lớp	三層
Kéo dài	跨
Tính đặc hiệu	特异性
Phòng bắt giữ	捕房
Công	硂
Pha trộn	摻
đất ngập nước	濕地
Anh ấy vào	他進
phương sách	度假区
Lý thuyết số	数论
Giải nhất	一等奖
sự đổi mới	革新
Tế Nam	濟南
bí mật	機密
Đời sống	人壽
phần mộ	塋
lũ lụt	水灾
Dọc đường	沿途
Tình huynh đệ	博愛
Nói	說道
lữ đoàn	旅长
Được áp dụng	適用
Vội vàng	殱
Zhan	詹
Răng nanh	昉
Khoa	学部
quý giá	宝贵
Quy định	规定
sự bành trướng	擴張
Trước cửa	门前
lo	愁
Mùa	季节
xí nghiệp	企业
chất xơ	纤维
Thứ hai	次之
Khiêm tốn	蹒
xem	看出
Trình duyệt	瀏覽器
Zhu	踼
Chiếm lấy	俘获
Annie	安妮
Trước mặt	戰線
Miriam Yang	楊千嬅
Nhón chân	跕
Feda	費達
Reaper nghiệt ngã	死神
quả thận	腎臟
Suy thoái	低迷
Washington	华盛顿
Vương miện hoàng tử	王储
bánh ngọt	糕
đổ	挹
Tonghua	通化
Con trai	個兒子
Cồn thuốc	酊
Hàng đầu	榜首
Bất động sản cơ sở	基地產
Ziyang	紫阳
Về quê	歸鄉
Cặp mạnh mẽ	強對
Được soạn bởi	编制
Shixie	石硤
Sau khi nó xảy ra	發生後
Jiao	蟛
tuyến tiền liệt	前列腺
Luật phổ biến	普法
Hiệu suất	业绩
hẹp	狹窄
Điều này	這
từ nguyên	词源
Nội dung	內容
Hoàng đế	元帝
khác giới	异性
thoát khỏi	摆脱
Trừng phạt	誅殺
giữa các vì sao	星際
Austin	奧斯汀
lý do	道理
Giấy bạc	箔
hai	貳
Hai phòng	兩間
ảnh hưởng	影響
đi dạo	遛
Nước Lào	寮
nhà ở	住房
Hai đầu tiên	首兩
Zhang	張
Sâu	蠽
câu đố	谜
trương hợp đặc biệt	特例
Maw	鮍
Và sau	與後
Bước vào	步入
Thoát nước	沥
Zhaoqing	肇庆
bỏ tù	圄
Đặc vụ	代理商
Pang	龐
Liangguang	两广
Xu	盱
Bragança	布拉干萨
Tín hiệu	示意
Stie	史提
Ấn-Âu	印歐語
Cuối thời nhà Minh	明末
Mặt tốt	好手
Chăn nuôi gia súc	畜牧业
đơn độc	孤
Netizen	網民
ngưỡng cửa	柣
Masamune	政宗
phân loại các cuống bói toán	揲
cây rơm	壟
Người bắn súng	射器
Đầu tiên	首
Lucas	卢卡斯
đế chế La Mã	羅馬帝國
Xiang	薌
Pháo đài	堡
Đến	来
Thuyền	舫
Thúi	腐
Rực rỡ	豔
Morgan	摩根
là đúng	是對
mùa thu	秋季
tính cách	氣質
Thuộc về	分属
Times	次
Kẻ huỷ diệt	驅逐艦
người Trung gian	中介
Tujia	土家族
chín mươi	九十
Tổ chức	宪
Hồng	閎
Bảo vệ chống lại	防
Hu Zongnan	胡宗南
Con Ốc Sên	蜗牛
Lề đường	路旁
rùa	鱉
xếp hàng	陣容
Phong cách	風格
Zhao	赵
Hà nội	河內
phản đối	抗議
Ontario	安大略
kỳ dị	古怪
Ông chủ	博斯
Tây An	悞
Vùng cơ sở	根据地
Điều dưỡng	护理
Akita	秋田
phanh	閘
Hoàn thành	实现
Cảnh sát	警務
Xuống biển	入海
Hoa trà	山茶科
bánh ngọt	粑
Hinder	阻礙
Và cùng một lúc	並同時
vào buổi chiều	下午
phản chiếu	反映
mật ong	蜂蜜
Cục giao thông vận tải	交通局
chân	英尺
Số Pi	伕
Ying	湥
kim cương	鑽石
Gạo nếp	麷
sắp xếp	安排
Shidan	時擔
cái khiên	屏蔽
Điều tốt	好事
hung dữ	兇
đặt thành	定為
bánh xe	車輪
đứng lên	起来
Ahma	艾哈迈
Khổng lồ	绝大
ranh giới	垓
hoàn thành	蒇
Thiên kiến	偏见
niêm phong	封印
ký tên	簽
Ôliu	橄
Chỉ ra	指出
Xiangjiang	湘江
quạt	搧
Sau đó	則在
Hỏi	搵
gấp đôi	雙
quân đội	陸軍
Tus	图斯
khu vực	沃德
EUR	欧元
Hotan	和田
bác bỏ	反駁
Cá	魚類
Hiệp sĩ	爵位
Vận tải hành khách	客运
Cánh đồng	該場
Ra tù	出狱
Nagao	長尾
chủ nhân	所有者
Venezuela	委内瑞拉
Shan	驘
đội	队
anh hùng	英雄
Chọn	摘
Diễn viên lồng tiếng	聲優
Biển báo dừng	站牌
Một đất nước	一國
đạo Hồi	伊斯兰教
Vượt qua	過關
Xi	岥
Người Thanh	清人
Hui	翚
Síp	塞浦路斯
Ya	伢
Thêm vào	相加
Yonan	與南
ánh sáng	灯
Tòa nhà	该楼
cảng thương mại	商埠
vật chất	材
Giám đốc bộ phận	司司長
Giải thưởng nhân vật chính	主角獎
bảo đảm	確保
Đầu máy hơi nước	蒸汽机车
Lai	崍
Jingtai	景泰
Yun	芸
Ghé thăm Trung Quốc	访华
Diễn viên phụ	未成年
còn lại	遺骸
đúng tiến độ	如期
Kinh doanh	營業
Ji	霽
Gạo nếp	糓
luật sư	律師
Thị trấn mới	新城
và cái này	而這
Jian	梘
Neil	尼尔
âm thanh	聲
Mạch máu	血管
Nia	尼亚
nâng cao	餤
Người Hồng Kông	港人
Hu	祜
một triệu	一百万
sẽ ảnh hưởng	會影響
Rừng nhiệt đới	热带雨林
Khoa hóa học	化学系
Yilan	宜蘭
gì	什麼
Rein	輰
mang mối hận thù	柸
Bộ trưởng ngoại giao	外长
Chagatai	察合台
lỏng lẻo	松
hội đồng	事會
Xe cộ	辆
đất sét	粘土
vịt đực	德雷克
viện trợ nước ngoài	外援
phòng khám bệnh	诊所
David	戴维
Chất kiềm	鹼
Đường sắt điện	電鐵
Cắn	啮
Chưa quyết định	未定
ngưỡng cửa	檻
Tiêu đề	片頭
hợp nhất	合併
Hafnium	擪
Đối với quốc tế	為國際
phục kích	伏兵
Nói	來說
Phải	须
Dinh thự	公館
Khởi phát	发病
La Liga	西甲
Kiệt sức	殆盡
Wang's	王氏
Mặt hàng	個項
mang đến	帶來
Phiên hiện tại	當屆
Trung thành	忠
nơi	斑点
Tích trữ	夛
Cách mạng Văn hóa	文革
giá trị	价值
Và máy móc	與機
bền vững	持久
hữu nghị	誼
United Star	聯星
tham nhũng	貪污
Dongsen	東森
hướng dẫn	指導
Lời nói hòa bình	和谈
nước biển	海水
se se lạnh	凊
hai trăm	兩百
Công tắc điện	掣
Thẻ vàng	黃牌
vĩ độ	緯
nghị sĩ quốc hội	众议员
Xây dựng đô thị	城建
Đẩy lên	撖
thể dục	體操
Kun	琨
Đấu thầu	招标
không gỉ	不锈
Ya	涯
Khu vực	片区
Niger	尼日
Yan	湨
lạ lùng	陌生
Đài Loan độc lập	台獨
tiếp nhận như một vị khách	迓
Tiêu biểu	代表性
Tấn	恂
đồ thị	圖表
Thị trấn phía bắc	北镇
từ chối	衰
Hưng thịnh	興盛
thuốc kháng sinh	抗生素
Airport Express Line	機場快綫
Thay đổi	之變
Ji	姞
Ôm	橂
Thiên nhiên	本质
Trận chiến	戰役
Gorgon	芡
Thanh Hải-Tây Tạng	青藏
Một lát sau	後成
Vượt qua	渡過
Metropolis	都會
họ	牠們
Sun Liren	孫立人
Trong Xu	在許
Sao đôi	双星
Trang bị thêm	改造
án tử hình	死刑
Dệt	织
Torreya	榧
Âm	甏
Lồng tiếng	配音
Hui Di	惠帝
phần phía sau	后方
Làm	製作
quan hệ ngoại giao	邦交
toàn bộ	整个
Khóc	嘥
Nam Sa	南沙
thử nghiệm	審訊
dưới nước	水底
sự ion hóa	電離
Trang điểm	補
Cái này	這個
tài giỏi	高明
Y khoa	医科
Được thuê với tư cách	聘為
Phát sóng trực tiếp	直播
Silesia	西里西亞
Shao	紹
nướng	烘
Changhe	長和
Di chuyển thủ đô	迁都
Mở	开来
đấu với	與
Nghịch ngợm	匦
tế nhị	微妙
Bình minh	曙光
Lạch nhỏ	小溪
Lực lượng	原力
Mở ra	開業
Lực lượng	作用力
cá ngừ	鲔
Quay	自旋
cá kiếm	剑鱼
Đảo	特島
Xiu	柭
Danube	多瑙河
bão táp	风暴
Trên bầu trời	上空
Tình nguyện viên	義工
lốc xoáy	氣旋
Thani	塔尼
Sel	塞勒
Mạng truyền hình	电视网
Chi nhánh	支系
Bản địa	土著
chương trình	节目
Nhà sư	和尚
Malta	马耳他
Ren	壬
Hồ bơi	泳池
hiếp dâm	强奸
Ueno	上野
Họ trúc đào	夹竹桃科
phần mộ	茔
Nhà truyền giáo	传教
Chấp nhận	納為
vận chuyển nước	水运
Phòng thiết kế	设计局
Bừa bãi	大肆
chuyến đi	蹚
phun ra từ miệng	噀
Sách chính chủ	主簿
Sway	聨
Lang thang	徘徊
Albania	阿尔巴尼亚
ủng hộ	支撑
Than phiền	訴
lựa chọn thay thế	替代品
Kiêu ngạo	觮
sơ cứu	急救
Cơm	水稻
Mặt nạ	口罩
Vùng biên giới	邊疆區
Tuyến Tseung Kwan O	將軍澳綫
Lizana	利桑那州
Ou	瓯
không hài lòng	觖
New York Yankees	紐約洋基
cao bồi	牛仔
Chắc chắn rồi	绝
Altai	阿尔泰
chủ tịch	總統
Gỗ	伍德
Tổ chức	主机
Thánh địa Etienne	圣艾蒂安
xử lý	手柄
Ve áo	襟
Lu	祿
Máy quốc tế	國際機
Fubon	富邦
Diễn viên phụ	小调
chim bồ câu bằng gỗ	鵓
cây rơm	埂
Bậc thầy	有主
báo thức	警報
con bò cạp	賧
uranium	铀
Phần còn lại	残留
Để đặt tên	來命名
Âm	琀
Liên minh Châu Âu	歐聯
ánh sáng vàng	金光
Ding	燢
Cha mẹ	家長
Bị phá hủy bởi	毁于
Taibai	太白
Là	是個
sự ngộp thở	窒息
Cô đơn	鬩
hơi nước	蒸气
Nanyu	南語
Gian lận	詐騙
Busan	釜山
Goth	戈特
Thời gian	時任
Hàng rào	圍牆
sau đó	然後
vợ lẽ	妾
rung chuyển	搢
giai thoại	轶事
trung thành	荩
kết tủa	澱
Nghề nghiệp	入伙
Hoặc	要么
Thành lập	創立
Yi	翧
Tai	氹
Nói	謂
bất kì	任何
Quyết định	決
món thịt hầm	煂
Ghi chú	箋
Mạnh mẽ hơn	更強
sự chuẩn bị	预备
Deming	德明
Tên	取名
phục kích	埋伏
nhảy	舞蹈
Chân thành	挚
bán	售賣
Đẹp mắt	壮观
Khiêm tốn	忝
thực tế	实际
Công ty xe buýt	巴士公司
Ký tên	标志
Trang Chủ	住家
Tây An	奤
Gián điệp	斯皮
Lu	逯
bài đăng cho động vật kết nối	杙
thường xuyên	时常
Cấp dưới	下設
Lu	昩
Qi	虘
Nằm trong	在于
Princeton	普林斯頓
Chạm tới	達
Quyết tâm	慴
dấu vết	痕跡
Súng tiểu liên	衝鋒槍
lau	抆
bắn tỉa	洟
Huân	洓
một	壹
Hoa vàng	黄花
Yan	漉
Trực tiếp	實況
Phi đội	中隊
Jia	郟
tin đồn	詗
Kiếm ăn	覓食
ngốc nghếch	戆
Thành phố cổ	古城
xây dựng	建筑
cầu nguyện	祈求
tương ứng	相應
Friedrich	弗里德里希
Tránh	避開
thuật ngữ	術語
Đảng viên	黨籍
Tôn trọng như	尊为
Bộ phận chính thức	吏部
Tỉnh	什省
lạnh	寒
puck	冰球
Thấp	低矮
Hilbert	希尔伯特
Wai	崕
đội bóng rổ	篮球队
Su	蔪
Armstrong	阿姆斯特朗
Khu nam	南區
người ghi chép	隶
Bán	賣
Miao	澪
Wa	俤
Bực bội	愗
Áo	奥地利
Dweller	居者
Biệt thự	山庄
hội nghị thượng đỉnh	首脑
cống rãnh	畎
Greno	格勒诺
thậm chí nếu	即便
đời sống	生命
nếu	假如
Rani	拉尼
Đảng Công nhân	工人党
soái ca	元帥
ngứa	痒
Fu	軂
Phát triển	开发
Della	德拉
vui mừng	快樂
Ở lại văn phòng	留任
Georgia	喬治亞州
Chủ nghĩa hợp hiến	宪政
Nhón	搋
Trụ sở chính	总署
Tang	渃
Nicky	尼基
Bốn cách	四路
Ye	谒
không bật	中午
kết thúc	尾聲
Thành phố Đại Liên	大连市
góa phụ	鰥
Dừng lại	点站
Người giám hộ	護級
đầu lâu	頭骨
Khung	禎
Punk	朋克
độc lập của người Mỹ	美國獨立
Chải	栉
Cơ học	力学
hiện hữu	存在
trao đổi thư tín	對應
đạn dược	彈藥
phá vỡ	決裂
Kết hôn giữa các	通婚
Hai mươi sáu	二十六
hú	嚎
Di	娣
sản phẩm	勣
Về lúc	约在
Ryder	莱德
Số ba	叁
Alexander	亚历山大
Choáng váng	慪
phát sóng	播音
Cao nguyên	高地
Thuringia	图林根
hẹp	褊
Tỉnh hà nam	河南省
Jensen	詹森
Cô ấy là	她為
Ai sẽ	者將
Ada	阿达
người quen	相识
Lưu Đức Hoa	劉德華
đầm lầy	沼澤
quần áo nghiêm trọng	襚
Cuộc phiêu lưu	探险
Được	鑑於
Fei	霱
mối thù hận	讎
đưa cho	給
Cùng kỳ	同时期
thám tử	偵探
Đấu sĩ	鬥士
Zheng	郑
Thứ tư	星期三
bôi nhọ	衊
Liên tiểu bang	州際
phiên bản	版本
Bảy năm	七年
hệ số	系数
đứng lên	起來
Jiawu	甲午
thung lũng	山谷
Âm mưu	劇情
Park Jeong	朴正
Ở lạibình minh	待在黎明
lãnh thổ	版图
Li Yuan	李元
ô	伞
Và tham gia	並加入
Ương ngạnh	叛逆
Bu	蔔
Cuan	爂
Bất đồng ý kiến	分歧
chủ quan	主观
Thành phố Fukuoka	福岡市
số nhiều	複數
Lớp học đầu tiên	上等
Truyền hình cáp	有线电视
Vẽ tranh lên tường	塗鴉
Chú	叔父
ủng hộ	撐
Bắt đầu	萌生
của tôi	鑛
Điều này cho phép	這讓
Hoàng đế	皇帝
đất đá	硗
Subei	苏北
Kính thiên văn	望远
quần lót	衩
Khởi đầu	下手
Như	做为
bộ	集合
Shannan	山南
Nơi gặp gỡ	會場
Liên tiểu bang	州际
thêm nữa	进一步
Tốt bụng	样
Kháng cự	抵禦
Học	攻读
Shaoguan	韶关
Shan Xiang	山乡
cây kế	薊
Nhà kho	蜕
để họ	讓他們
váy	裳
Quận Hoàng Phố	黄浦区
Môi trường sống	棲息地
Cửa hàng	店家
háng	襠
đĩa	盘
Ngôn ngữ	语文
đề tài	题目
mới	新近
cái chày	杵
công nghiệp hóa chất	化学工业
Naples	那不勒斯
vài trăm	几百
Ở đâu	哪里
sự phá thai	流产
Trẻ	孏
đặc biệt	殊
Một hớp	巑
Chèn	插
Cô ấy đúng	她對
Chu	榖
Tongji	同济
Guoguang	國光
Xin	莚
Khu vực phí	費區
Wenshan	文山
Vòng	袢
Jie Quan	屆全
Augustus	奥古斯
Eda	額達
Vương miện của	之冠
uốn cong	弯曲
Li	蓏
Học tập	學中
Vẫn	仍旧
sau đó	之後
Valkyrie	武神
cơn lốc	強風
Lớn	為大
nhạc nền	主题曲
Đất đai	蘭德
Tháng sáu	儁
Cử nhân khoa học	學位
Rui	叡
Ngốc nghếch	蜲
bánh mì hấp	饅
Nhẫn	戒指
Tokyo	东京
Cô	姑
Linhai	临海
đứa trẻ	儿
thể dục	体操
cảm giác	轟動
Gửi đến	發給
Theo dõi	有轨
lau	抹
Xiling	西陵
Liên Chân	連戰
Cooper	古柏
Đáp lại	答复
Bigne	比涅
Gwangju	光州
Sada	萨达
Xia Wei	夏威
Kesi	克西
Ngoài luồng	停播
Tám người	八人
Đại học Jiaotong	交大
Vũ công	舞者
Tát	俇
Âm	耼
Hội chợ triển lãm	世博
phương châm	標語
Bài hát nhịp	刓
Christo	克里斯托
Nội chiến	内战
molypden	鉬
thiếu	匮
Điều lệ	包機
con trai	男孩
Loạt	系列赛
sự thù ghét	讐
Chuẩn bị	备
sự công nhận	承认
Gran	格兰
catalpa	楸
Tham gia	列席
phản động	反动
Hình nón	锥
Quận	縣份
Nagano	長野
hình dạng	形
Qi	麒
Thống nhất	統
Shao	礭
Cán bộ, chiến sĩ	官兵
Hố va chạm	撞击坑
trái	左邊
Thành phố Heyuan	河源市
dã man	野人
con châu chấu	螽
tính thẩm mỹ	美学
Miyako	宮古
Cố gắng hết sức	极力
Cao Pi	曹丕
ghét	怼
Bộ hình sự	刑部
Bắc việt nam	北越
Gao Ping	高平
Evergrande	恒大
Áo choàng ngoài	褛
hiếm hoi	罕
McDonald's	麥當勞
Chi nhánh	隸屬
Kennedy	肯尼迪
Mu	穆
chủ tịch	總裁
rửa	濯
Sojourn	旅居
Đầy hơi	臃
Vắt kiệt	拄
Mir	米爾
Thủ lĩnh	领队
yamen	衙門
Tàn tích	遺址
Người lao động nhập cư	民工
gặp gỡ	遭遇
Liên đoàn bóng đá	足聯
Xa hơn	較遠
mỏ neo	碇
mê tín	迷信
Xe đạp	自行车
Thần học	神論
uống	飲
Nhóm B	乙組
quả mọng	貝瑞
mẫu	格局
Và đông	與東
Vale	瓦勒
Và	並將
Luẩn quẩn	獰
Đảng tự do	自由党
Què	巛
đứa trẻ	儿童
con tằm	蚕
máy in	打印机
Dẫn độ	引渡
Lo âu	安溪
Khó xử	蔲
Đến	赶来
Thành tích	绩
Moo	唞
Định lượng	定量
Chạm khắc	雕
hành pháp	执法
độc	有毒
Clan	戰隊
Fraki	弗拉基
Tỉnh Gyeonggi	京畿道
Đưa vào	置在
Thích ca	释迦牟尼
lý lịch	背景
dép	屣
Tên viết tắt	聲母
Sức cản	抵抗
Ý định ban đầu	初衷
Chuồng	樗
Times	時報
Phật tử	佛教徒
flo	氟
Rác rưởi	垃圾
Smash	弉
đan lông mày	颦
Bóng bán dẫn	晶体管
Choáng váng	愙
giả thuyết	假说
Azerbai	阿塞拜
máy vi tính	电脑
rò rỉ	漏
va chạm	碰撞
Thái độ	態度
Yu	毓
nằm xuống	放下
Sốc	震撼
Thuật bói toán	占卜
Năm đầu	元年
Thường Châu	常州
Lộn nhào	挻
dốc	梯度
Nhớ lại	想起
Thai kỳ	妊
nghiêm khắc	嚴格
Chenghe	城河
Cá	撈
Chongwen	崇文
Kính hiển vi	显微
Buồn phiền	憇
Huh	唦
lưỡi	葉片
Xiu	魫
Rút tiền	撤出
Song ngữ	雙語
pháp luật tố tụng hình sự	刑法
luôn luôn	历来
Biya	比亚
Nhân sâm	蔘
có thể nhìn thấy	可见
Giẻ	褴
tốc độ	速度
Cứu hộ	救援
trêu chọc	撩
Đã chọn	选中
Ni	佲
Với	有與
Sông Kim Sa	金沙江
thực dụng	實用
Giới thiệu	推举
Odo	奧多
Đăng ký	認購
Bang đang chiến tranh	戰國
hạt dẻ	栗
ân sủng	恩典
Dãy núi Taihang	太行山
thoát khỏi	渫
Ngoại ô phía tây	西郊
Bị nghi ngờ	疑似
Xi	遰
Daying	大营
thiếu hụt hoặc khuyết	赤字
Pang	蒱
Ngồi xổm	踁
Lỏng lẻo	松散
Thảm họa	受灾
ủ	酝
Âm nhạc	音樂
Bước lên	踩
Đa dạng	各樣
Ngày thứ chín	初九
phía trong	內的
Lừa gạt	擶
Tong	浼
citron	橼
Chi nhánh	分支
lau	搌
Đặc khu	特區
bờ biển	灘
dẫn đầu	主導
xúi giục	唆
hội đồng	理事會
Háu ăn	餣
Sai lầm	錯
Chim	悫
hamadryad	狒
Tập Cận Bình	习近平
Trạm kiểm soát	编组站
zhu	柷
Song Zhe	宋哲
Ngồi xổm	儎
vài năm	幾年
Học hỏi từ	師從
gọn nhẹ	緊湊
Quay	纺
nấu bia	酿造
Nhạc khiêu vũ	舞曲
Afu	阿富
Không dễ	不易
Trục	軸心
Phương pháp này	此法
truy cập	存取
nồi nấu kim loại	埚
xử lý	柄
hẻm núi	峽谷
huyết tương	等离子体
Eisenhower	艾森豪
Ếch	鳬
sản xuất tại	產於
Nói cách khác	换句
Stan	史丹
ngu Google dịch dở	镭
thuốc tiên	酏
động kinh	癇
Máy bay ném bom	炸機
Shu	舒
Bảo mẫu	褓
Shaq	沙克
Chì	牵
bộ sưu tập	徵收
hồi phục	光复
Tháng sáu	濬
Thủy phi cơ	水上飛機
bình minh	旴
rùa	鳖
Nhắc lại	重申
nấu ăn	爨
Trang	佩奇
Hiện tại	呈
sân bay	机场
Hesse	黑森
Hương	香火
tê liệt	痹
kích thích	刺激
Shao	绍
Cà vạt	逰
vào ban đêm	夜間
Marshalling	编组
Bama	巴马
Thiết bị	器件
Ye	榙
Shizuku	雫
Xương ảo	虛骨
nghìn tỷ	兆
Lệ Giang	丽江
Lịch sử văn học	文学史
Ivan	伊凡
琎	璡
tuổi già	衰老
caldron	甑
Còng	髢
Sống lâu	萬歲
Văn phòng tổng hợp	总办
Hộp số	齿轮
Shipai	石牌
Một tháng	一個月
Viola	堇菜
Có lông	褎
